Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,total 15 nos document downloaded,Ajay Kumar Behera,29-Oct-2025 01:01 PM,,BOQ Comparative Chart,1.0,Tender revocation,Tender revocation,29-Oct-2025 11:17 AM,blank.pdf ,4.8,Financial Opening,C.C.E.R.W.Circle Cuttack,Internal,"SERWDIVISION, CUTTACK DAO RW DIVISION JAGATSINGHPUR PA TO CCE",Usharani Behera,23-Sep-2025 12:47 PM,24-Sep-2025 05:30 PM,techsummary_547316.pdf (494.00 KB),1,3022342,AMBIKA PRASAD SINGH,07-Aug-2025 08:49 AM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,02-Dec-2025,"INR 25,277,646",270.0,Usharani Behera,15-Dec-2025 01:20 PM,Deuli.pdf (498.00 KB),1.0,3026967.0,SAMRAT KALINGA KESHARI SWAIN,INR,"25,277,646.4",C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Usharani Behera,11-Nov-2025 04:25 PM,finsummary_547316.pdf (417.22 KB),CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_116068_1,Tender Online RWC 11/25-26,Construction of Flood Resilient Road from Deuli to Adheikul in the District of Jagatsinghpur under SDMF for the year 2025 - 56.,Technical,Total 15 nos document downloaded,Ajay Kumar Behera,08-Aug-2025 04:52 PM,,AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Flood Resilient Road from Deuli to Adheikul in the District of Jagatsinghpur under SDMF for the year 2025 - 56.,Construction of Flood Resilient Road from Deuli to Adheikul in the District of Jagatsinghpur under SDMF for the year 2025 - 56.,NA ,NA ,"2,97,34,909",Miscellaneous Works,NA ,Tender,90.0,270.0,Jagatsinghpur,753004.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , CUTTACK",No ,No,CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC 11/25-26,2025_CERWI_116068_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,25-Jul-2025 11:30 AM,08-Aug-2025 11:30 AM,25-Jul-2025 11:30 AM,07-Aug-2025 05:00 PM,25-Jul-2025 11:30 AM ,07-Aug-2025 02:00 PM ,25-Jul-2025 11:30 AM,07-Aug-2025 05:00 PM,24-Sep-2025 05:30 PM,"2,97,349",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship",Circle Officer,"RURAL WORKS CIRCLE , CUTTACK",AOC
,,,,,,,,,,,,,,,,,,,,2,3013350,DEBASIS PATI,04-Aug-2025 02:33 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,AOC
,,,,,,,,,,,,,,,,,,,,3,3027049,HRUSHIKESH SWAIN,07-Aug-2025 02:05 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand Machineries as per DTCN",,,AOC
,,,,,,,,,,,,,,,,,,,,4,3026478,KALINGA CONSTRUCTION,06-Aug-2025 11:55 PM,Rejected-Finance,Unsucessful bidder,11-Nov-2025 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3019845,MESSERS DURGA CONSTRUCTION,06-Aug-2025 08:32 AM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3025016,M/S. BAHUBALENDRA MALLICK,07-Aug-2025 01:41 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3027098,M/S. DEBI PRASAD TRIPATHY,07-Aug-2025 02:34 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3026614,M/S. RAGHUNATH KANDI,07-Aug-2025 12:18 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3026201,PRIYA RANJAN BISWAL,06-Aug-2025 07:57 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3026789,RABINARAYAN SETHI,07-Aug-2025 12:47 PM,Rejected-AOC,L1,15-Dec-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
