Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,10-Dec-2025 10:39 AM,techsummary_547552.pdf (589.71 KB),10-Dec-2025,"INR 2,437,734",180.0,LAXMAN SAHOO,10-Dec-2025 10:49 AM,TSQBhogra.pdf (603.00 KB),1,3033126,AMIT KUMAR KISPOTTA,12-Aug-2025 01:07 PM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,1.0,3025816.0,MARIYAM KISPOTTA,INR,"2,437,734",Finance,TENDER STATUS,LAXMAN SAHOO,22-Aug-2025 07:46 PM,finance_547552.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,10-Dec-2025 10:43 AM,finsummary_547552.pdf (589.71 KB),ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_116140_8,ITDASNG-03/2025-26,Construction of twin staff quarters (2 Units Teaching) at Bhogra Sevashram under Kutra Block,AOC,"28,676",Yes,fixed,,Nil,Nil,PROJECT ADMINISTRATOR,"ITDA, SUNDARGARH","6,000",0.0,Nil,Nil,No,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-03/2025-26,2025_STSCD_116140_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,29-Jul-2025 01:00 PM,13-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,Construction of twin staff quarters (2 Units Teaching) at Bhogra Sevashram under Kutra Block,Construction of twin staff quarters (2 Units Teaching) at Bhogra Sevashram under Kutra Block,AS PER DTCN ,NA ,"28,67,585",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, SUNDARGARH",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN Card, GSTIN, No relation certificate, Affidavit and other documents as per DTCN",1.0,ICICI BANK,AOC
,,,,,,,,,,,,2,3032767,AYASHA DAS,12-Aug-2025 10:59 AM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,3,3030370,BISWARANJAN MAHAKUL,11-Aug-2025 08:22 PM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3030511,DEBASIS PUROHIT,12-Aug-2025 01:21 AM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3032811,DILLIP KUMAR LAKRA,12-Aug-2025 11:22 AM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3031487,DIPAK KUMAR SAMAL,11-Aug-2025 02:41 PM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3024572,GOPIKRISHNA NAIK,05-Aug-2025 01:43 PM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3032369,KIRTIMEGHA PARIJA,11-Aug-2025 08:40 PM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3030485,LAXMAN PUROHIT,10-Aug-2025 10:52 PM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3032650,MANIK CHARAN NAYAK,12-Aug-2025 08:42 AM,Rejected-AOC,Disqualified,10-Dec-2025 10:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
