Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,10 nos. bidder participated,Tripura Mahananda,04-Nov-2025 01:13 PM,,BOQ Comparative Chart,1.0,3171979.0,M/S SHREE SHYAM REALCON,INR,"2,048,522",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,2025_PRDGB_119786_4,PS-GLMND-T-1/2025-26,Construction of GPLF Building at Nuagaon under Golamunda Block,"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,23-Dec-2025 12:17 PM,finsummary_557108.pdf (2019.12 KB),"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,23-Dec-2025 12:10 PM,techsummary_557108.pdf (2019.12 KB),23-Dec-2025,"INR 2,048,522",180.0,Tripura Mahananda,23-Dec-2025 12:21 PM,NuagaonGPLF.pdf (2019.00 KB),1,3147561,BALLABHI SENAPATI,30-Oct-2025 10:42 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,1.0,ICICI BANK,"24,000",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,"Block Development officer, Golamunda","O/o Panchayat Samiti, Golamunda",22-Oct-2025 11:00 AM,04-Nov-2025 11:00 AM,22-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,22-Oct-2025 11:00 AM ,28-Oct-2025 05:00 PM ,22-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,Construction of GPLF Building at Nuagaon under Golamunda Block,Building,Please refer Tender documents. ,NA ,"24,09,742",Civil Works - Buildings,NA ,Tender,90.0,180.0,Golamunda,766016.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Golamunda",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GST, RC , No Relation certificate",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,PS-GLMND-T-1/2025-26,2025_PRDGB_119786_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3147553,KSHETRA SENAPATI,29-Oct-2025 07:39 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3174866,Manaranjan Behera,03-Nov-2025 02:59 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3171979,M/S SHREE SHYAM REALCON,01-Nov-2025 04:25 PM,Accepted-AOC,Qualified,23-Dec-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3167181,NARAYANA MEHER,30-Oct-2025 11:37 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3172643,PRATAP KISHOR NAIK,01-Nov-2025 05:04 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3171658,RAJKISHOR PANDA,01-Nov-2025 05:30 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3172917,SATYABANTA BAGARTTI,01-Nov-2025 06:43 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3165319,SUSANTA KUMAR BODKIA,31-Oct-2025 10:32 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3169241,THAN SUNDAR SA,01-Nov-2025 04:04 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
