Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,13/OPHWC/2025-26,2025_OSPHW_118457_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Const. of 6 Nos. E Type Qtr. At Raruan PS, Mayurbhanj",Building Work,Please refer Tender documents. ,NA ,"1,79,44,869",Civil Works - Buildings,NA ,Tender,90.0,365.0,Mayurbhanj,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,24-Sep-2025 06:55 PM,13-Oct-2025 10:30 AM,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,12-Nov-2025 10:30 AM,"1,79,400",Yes,fixed,,Nil,Nil,AOC,Technical,5 Nos. of bidders have been participated,MONALISHA PADHY,13-Oct-2025 01:34 PM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,10-Dec-2025 01:28 PM,finsummary_553612.pdf (793.91 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,12-Nov-2025 11:23 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,11-Nov-2025 07:05 PM,12-Nov-2025 10:30 AM,techsummary_553612.pdf (392.36 KB),10-Dec-2025,"INR 15,254,933",365.0,Bikram Keshari Malla,10-Dec-2025 01:34 PM,RARU.pdf (82.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 08.12.2025,1,3120627,BINAYA BHUSAN MAHUNTA,09-Oct-2025 05:55 PM,Rejected-Finance,DUE TO L3 BIDDER,10-Dec-2025 01:28 PM,1.0,3122010.0,SRI PRADIP KUMAR BHUJABAL,INR,"15,254,933",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_118457_14,13/OPHWC/2025-26,"Const. of 6 Nos. E Type Qtr. At Raruan PS, Mayurbhanj",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3122123,BISWAJIT ROUT,10-Oct-2025 02:12 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,11-Nov-2025 07:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3122137,RATNAKAR NAIK,10-Oct-2025 02:08 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Dec-2025 01:28 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3122010,SRI PRADIP KUMAR BHUJABAL,10-Oct-2025 01:49 PM,Accepted-AOC,QUALIFIED BIDDER,10-Dec-2025 01:34 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3120394,SUBASH CHANDRA LAKRA,09-Oct-2025 04:37 PM,Rejected-Technical,Non submission of adequate valid documents to secure qualifying marks in SchC as per DTCN Cl.No.13 and 110(F) And MoU for Internal EI work as per DTCNCl.10 and 110(h) and similar nature of works during consideration period asper DTCNCl.No.11and110(K),11-Nov-2025 07:05 PM,,,,,,,,,,AOC
