Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_115588_12,MC(CMC)CTC_Div-I_No.06/2025-26,Construction of Boundary Wall at Uttara Deula Sahi M.C.C. and M.R.F. in Ward No. 08.,1.0,3012742.0,JAGANNATH SWAIN,INR,"948,043",1,3012826,AJIT KUMAR BEHERA,26-Jul-2025 05:33 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,22-Dec-2025,"INR 948,043",60.0,Subas Chandra Sahoo,22-Dec-2025 06:33 PM,mrf.pdf (272.00 KB),Work Order,Finance,Thirteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Subas Chandra Sahoo,02-Aug-2025 07:56 PM,finance_546367.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,22-Dec-2025 06:26 PM,finsummary_546367.pdf (418.32 KB),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,22-Dec-2025 06:22 PM,techsummary_546367.pdf (418.32 KB),AOC,18-Jul-2025 03:00 PM,01-Aug-2025 11:00 AM,18-Jul-2025 03:00 PM,29-Jul-2025 05:00 PM,NA ,NA ,18-Jul-2025 03:00 PM,29-Jul-2025 05:00 PM,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","11,200",Yes,fixed,,Nil,Nil,Construction of Boundary Wall at Uttara Deula Sahi M.C.C. and M.R.F. in Ward No. 08.,Construction of Boundary Wall at Uttara Deula Sahi M.C.C. and M.R.F. in Ward No. 08.,Please refer Tender documents. ,NA ,"11,15,300",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.06/2025-26,2025_ORULB_115588_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3015352,Bhabagrahi Nayak,28-Jul-2025 04:10 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3016749,CHANDRABATI BISWAL,29-Jul-2025 03:26 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3012795,chandra sekhar behera,26-Jul-2025 05:01 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3015714,DURGA MADHAB MOHANTY,28-Jul-2025 06:47 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3012941,HASYAMAYEE ROUL,26-Jul-2025 07:32 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3012742,JAGANNATH SWAIN,26-Jul-2025 03:52 PM,Accepted-AOC,Accepted,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3014721,PRADEEP KUMAR CHHATOI,28-Jul-2025 12:55 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3015500,PRAVAT KUMAR PRUSTY,28-Jul-2025 04:53 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3016302,SANJAY KUMAR SETHY(SC),29-Jul-2025 12:01 PM,Rejected-AOC,Rejected,22-Dec-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
