Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
S/R to Bridge over Sonal nallah on Patmunda to Ganua road in the district of Sundargarh for the year 2025-26,S/R to Bridge over Sonal nallah on Patmunda to Ganua road in the district of Sundargarh for the year 2025-26,Please refer Tender documents. ,NA ,"8,46,968",Civil Works - Bridges,NA ,Tender,90.0,60.0,Bonai,770038.0,NA ,NA ,NA ,"O/o the Executive Engineer,R.W. Division, Bonai",No ,No,30-Oct-2025 12:00 PM,14-Nov-2025 11:00 AM,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,30-Oct-2025 12:00 PM ,12-Nov-2025 05:00 PM ,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,Executive Engineer,"O/o the Executive Engineer,R.W. Division, Bonai","8,470",Yes,fixed,,Nil,Nil,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-02 of 2025-26,2025_CERWI_120310_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as DTCN",AOC,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,15-Dec-2025 11:29 AM,finsummary_559902.pdf (434.99 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,15-Dec-2025 11:24 AM,techsummary_559902.pdf (535.63 KB),15-Dec-2025,"INR 720,008",60.0,Jajati Keshari Gadanayak,15-Dec-2025 11:34 AM,3.pdf (392.00 KB),Awarded,1,3219381,AMIT BIKRAM KHUNTIA,12-Nov-2025 09:38 PM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,1.0,3222011.0,SUDHANSU SEKHAR SAHOO,INR,"720,008",CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2025_CERWI_120310_25,ONLINE-EEBNI-02 of 2025-26,S/R to Bridge over Sonal nallah on Patmunda to Ganua road in the district of Sundargarh for the year 2025-26,Finance,Accepeted,Jajati Keshari Gadanayak,15-Dec-2025 11:15 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,2,3216834,DIPTIMAYEE PARIDA,12-Nov-2025 01:11 PM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3220523,KESHAB CHANDRA PATRA,13-Nov-2025 11:42 AM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3222084,Manoj Gadhei,13-Nov-2025 04:54 PM,Rejected-Technical,Rejected for no relation certificate,15-Dec-2025 11:24 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3218265,NILAKANTHA DAS,12-Nov-2025 05:38 PM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3205149,PRATYUSH KUMAR SWAIN,10-Nov-2025 10:12 AM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3220654,SAROJINI DUNGDUNG,13-Nov-2025 12:25 PM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3222011,SUDHANSU SEKHAR SAHOO,13-Nov-2025 04:26 PM,Accepted-AOC,Awarded,15-Dec-2025 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3221661,SUSMITA ACHARYA,13-Nov-2025 03:07 PM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3220623,SUVRAJIT DAS,13-Nov-2025 12:07 PM,Rejected-Finance,By transparent lottery,15-Dec-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
