Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,ok,Nilamadhab Nag,14-Nov-2025 03:43 PM,finance_561169.pdf,BOQ Comparative Chart,30-Dec-2025,"INR 423,947",30.0,Nilamadhab Nag,30-Dec-2025 11:16 AM,3346.pdf (390.00 KB),Work Order Issued,Municipal Bodies||Kuchinda NAC,2025_ORULB_120592_11,KCDA/NAC-5/2025-26,Construction of Drain from Axis Bank Chhak to Action Club Chhak in Ward No-03,1.0,3221285.0,PRAKASH RUDRA SINGH,INR,"423,947",1,3210517,AMIT AGRAWAL,11-Nov-2025 01:13 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,Pradyut Kumar Mohantay,Internal,"B K Sa,N Nag,Manaranjan Suna",Nilamadhab Nag,29-Dec-2025 12:56 PM,techsummary_561169.pdf (664.63 KB),Pradyut Kumar Mohanty,Internal,"B K Sa,N Nag,Manaranjan Suna",Nilamadhab Nag,29-Dec-2025 04:30 PM,finsummary_561169.pdf (664.63 KB),AOC,03-Nov-2025 10:00 AM,14-Nov-2025 10:00 AM,03-Nov-2025 10:00 AM,13-Nov-2025 05:30 PM,03-Nov-2025 10:00 AM ,13-Nov-2025 05:30 PM ,03-Nov-2025 10:00 AM,13-Nov-2025 05:30 PM,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"4,239",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Kuchinda NAC,KCDA/NAC-5/2025-26,2025_ORULB_120592_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER,NAC KUCHINDA","AT/PO-KUCHINDA,DIST-SAMBALPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of Drain from Axis Bank Chhak to Action Club Chhak in Ward No-03,Construction of Drain from Axis Bank Chhak to Action Club Chhak in Ward No-03,Please refer Tender documents. ,NA ,"4,23,947",Civil Works - Others,Drain ,Tender,90.0,30.0,Ward No-3 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3214538,ANANTA NARAYAN BEHERA,12-Nov-2025 08:28 PM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3219832,BIKASH KUMAR NAYAK,13-Nov-2025 07:33 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3219161,BISHAL AGRAWAL,13-Nov-2025 02:27 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3217570,GOBINDA SAHOO,13-Nov-2025 12:07 PM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3219357,KULAMANI SAHANSIA,13-Nov-2025 04:37 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3221285,PRAKASH RUDRA SINGH,13-Nov-2025 02:33 PM,Accepted-AOC,Awarded through lottery system,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3218549,SHAKTI SWARUP MOHANTY,13-Nov-2025 06:53 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3216484,SUJIT KUMAR AGARWAL,12-Nov-2025 11:28 PM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3215834,Sushanta Kumar Dwibedy,12-Nov-2025 09:07 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,3215758,UMESH CHANDRA MAHANANDA,13-Nov-2025 06:13 AM,Rejected-AOC,Rejected,30-Dec-2025 11:16 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
