Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,13nos bids received,Mohammed Shahbaz,12-Aug-2025 09:05 AM,,BOQ Comparative Chart,1.0,3020995.0,AMIYA SAMANTRAY,INR,"1,858,499",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_116114_4,SE CTC (RandB)-22 of 2025-26,S/R to Cuttack City Ring road from Khannagar to Sikharpur via Bidanasi and Belview Chhak in the dist of Cuttack Such as periodical renewal from 9/500 km to 10/00 km (Both side) for the year 2025-26,Er. Md Shahbaz SE,Internal,Er Abhaya Bharati Pattanaik AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr N Srinibash Sr DAO,Mohammed Shahbaz,12-Dec-2025 09:07 PM,finsummary_547464.pdf (836.25 KB),Er Md Shahbaz SE,Internal,Er Abhaya Bharati Pattanaik AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr N Srinibas Sr DAO,Mohammed Shahbaz,22-Aug-2025 01:28 PM,techsummary_547464.pdf (665.49 KB),1,3028280,ADITYA KUMAR DAS,08-Aug-2025 01:30 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,12-Dec-2025,"INR 1,858,499",30.0,Mohammed Shahbaz,12-Dec-2025 09:12 PM,116114_4_A.pdf (376.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 12.09.2025 to complete the work by 11.10.2025 in all respect,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",1.0,ICICI BANK,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,"6,000",0.0,Nil,Nil,No,S/R to Cuttack City Ring road from Khannagar to Sikharpur via Bidanasi and Belview Chhak in the dist of Cuttack Such as periodical renewal from 9/500 km to 10/00 km (Both side) for the year 2025-26,Road work,As per DTCN ,NA ,"21,86,212",Civil Works - Roads,NA ,Tender,90.0,30.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,25-Jul-2025 05:00 PM,11-Aug-2025 11:00 AM,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,NA ,NA ,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-22 of 2025-26,2025_EICCL_116114_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"21,900",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3028683,AKS MINING INFRACON,08-Aug-2025 03:36 PM,Rejected-Technical,Disqualified due to non submission of Schedule-A in proper format,22-Aug-2025 01:28 PM,,,,,,,,AOC,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3022046,AMITABH SWAIN,03-Aug-2025 01:09 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3020995,AMIYA SAMANTRAY,07-Aug-2025 12:35 PM,Accepted-AOC,Accepted,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3021032,ASHIS DAS,04-Aug-2025 10:23 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3028704,BHAGIRATHI BISWAL,08-Aug-2025 03:50 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3027761,"GANGADHAR PRADHAN,PROP.-PRADHAN GENERAL SUPPLIER",07-Aug-2025 09:21 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3025150,GIRIJA PRASAD SWAIN,06-Aug-2025 03:44 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3026175,ITISHREE MOHANTY,06-Aug-2025 07:10 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3027727,"MANAS KUMAR PRADHAN,PROP.-MAA HINGULA STONE SUPPLIER",07-Aug-2025 08:40 PM,Rejected-AOC,Rejected,12-Dec-2025 09:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
