Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","10,000",0.0,Nil,Nil,No,Municipal Bodies||Sambalpur Municipal Corporation,20/SMC_SBP/2024-25,2024_ORULB_108403_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,20-Dec-2024 11:00 AM,31-Dec-2024 11:00 AM,20-Dec-2024 11:00 AM,30-Dec-2024 05:00 PM,NA ,NA ,20-Dec-2024 11:00 AM,30-Dec-2024 05:00 PM,28-Apr-2025 10:35 AM,1.0,ICICI BANK,"COMMISSIONER, SMC","New Office Building, SMC Durgapali,Sambalpur","60,679",Yes,percentage,1.0%,Nil,Nil,Construction of paver road from Saint Xavier high School to Kinsir Village main road at Kainsir in Ward No-20,Construction of paver road from Saint Xavier high School to Kinsir Village main road at Kainsir in Ward No-20,Please refer Tender documents. ,NA ,"60,67,881",Civil Works - Others,NA ,Tender,120.0,120.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,AOC,1,2714799,ALOK KUMAR AGRAWAL,29-Dec-2024 08:03 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,06-Dec-2025,"INR 6,063,881.51",120.0,PADMINI MEHER,06-Dec-2025 11:24 AM,FIROZ.pdf (386.00 KB),SUCCESSFUL,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,28-Apr-2025 10:32 AM,28-Apr-2025 10:35 AM,techsummary_521168.pdf (348.36 KB),Finance,financial bid opened,Vedbhushan .,28-Apr-2025 11:13 AM,finance_521168.pdf,BOQ Comparative Chart,Municipal Bodies||Sambalpur Municipal Corporation,2024_ORULB_108403_1,20/SMC_SBP/2024-25,Construction of paver road from Saint Xavier high School to Kinsir Village main road at Kainsir in Ward No-20,Technical,Technical Bid Opened,Vedbhushan .,02-Jan-2025 12:16 PM,technical_521168.pdf,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,06-Dec-2025 11:22 AM,finsummary_521168.pdf (386.43 KB),1.0,2717445.0,md feroz khan,INR,"6,063,881.51",AOC
,,.pdf,"Experience Certificate, Tools and Machinery documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2717230,GHANSHYAM DAS MURARKA,30-Dec-2024 04:00 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2713013,MAHENDRA DALAI,29-Dec-2024 08:22 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2716819,MARUTI CONSTRUCTIONS,30-Dec-2024 12:58 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2717445,md feroz khan,30-Dec-2024 04:17 PM,Accepted-AOC,SUCCESSFUL,06-Dec-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2716193,MONALI MAHESWATA PANDA,30-Dec-2024 03:53 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2715252,NARESH BEHERA,28-Dec-2024 08:40 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2713365,NIKHIL SARDA,27-Dec-2024 11:44 AM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2716189,PARSURAM KHAMARI,30-Dec-2024 03:40 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2717136,S T INFRA,30-Dec-2024 02:24 PM,Rejected-Finance,UNSUCCESSFUL,06-Dec-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
