S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Tender Stage
1.0,Tender Revocation,Tender Revocation,12-Nov-2025 06:39 PM,4103.pdf ,2075.04,Technical Opening,19-Dec-2025,"INR 27,073,752",270.0,Durjyodhan Behera,19-Dec-2025 05:16 PM,5428.pdf (691.00 KB),Work awarded to 1st lowest bidder,1,3075971,BHAGABAN MOHANTY,13-Sep-2025 02:02 PM,Rejected-Technical,Dis-qualified,12-Nov-2025 07:39 PM,1.0,3080133.0,SANGRAM KESHARI LENKA,INR,"27,073,752",CE RW I||RWCIRCLE-BALASORE,2025_CERWI_117604_11,CCE-BLS-NCB-23 OF 2025-26,Construction of road from Dhubagadhia TariniChhak to Nahanga Chhak via Kumbhuka Road in the District of Balasore under MMSY-TRIP for the year 2024-25,Finance,6 Numbers bidder admitted,Durjyodhan Behera,17-Nov-2025 12:15 PM,,BOQ Comparative Chart,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO RW. DIVISION-II, BALASORE",Saibalini Singh,12-Nov-2025 07:39 PM,15-Nov-2025 11:00 AM,techsummary_551468.pdf (2090.40 KB),Technical,10 Numbers bidder admitted,Saibalini Singh,12-Nov-2025 07:04 PM,,"CCE RW CIRCLE, BALASORE",Internal,"PA TO CCE RW CIRCLE, BALASORE AND JE ESTIMATOR CCE RW CIRCLE, BALASORE AND DAO R.W. DIVISION-II, BALASORE",Durjyodhan Behera,19-Dec-2025 05:11 PM,finsummary_551468.pdf (37.70 KB),AOC,Construction of road from Dhubagadhia TariniChhak to Nahanga Chhak via Kumbhuka Road in the District of Balasore under MMSY-TRIP for the year 2024-25,Construction of road from Dhubagadhia TariniChhak to Nahanga Chhak via Kumbhuka Road in the District of Balasore under MMSY-TRIP for the year 2024-25,Please refer to the DTCN ,NA ,"3,18,48,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Balasore,756001.0,NA ,NA ,NA ,"CCE R.W.CIRCLE,BALASORE",No ,No,"3,18,480",Yes,percentage,1.0%,Nil,Nil,06-Sep-2025 11:00 AM,16-Sep-2025 11:00 AM,06-Sep-2025 11:00 AM,15-Sep-2025 05:00 PM,06-Sep-2025 11:00 AM ,12-Sep-2025 05:00 PM ,06-Sep-2025 11:00 AM,15-Sep-2025 05:00 PM,15-Nov-2025 11:00 AM,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-23 OF 2025-26,2025_CERWI_117604_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Modification of 1st Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",AOC
,,,,,,,,,,,,,,2,3081376,BIJAYA KUMAR ROUT,15-Sep-2025 02:25 PM,Rejected-AOC,L3,19-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,3,3080716,JEETESH RANJAN BEHERA,15-Sep-2025 12:04 PM,Rejected-Technical,Non-submission of EMD,12-Nov-2025 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,AOC
,,,,,,,,,,,,,,4,3076910,KRISHNA MOHAPATRA,13-Sep-2025 06:36 PM,Rejected-AOC,L4,19-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,AOC
,,,,,,,,,,,,,,5,3076929,MESSERS K M CONSTRUCTION,13-Sep-2025 06:06 PM,Rejected-AOC,L2,19-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,6,3075945,MURALIDHAR ROUT,15-Sep-2025 12:57 PM,Rejected-AOC,L5,19-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,7,3079812,MURALIDHAR SAHOO,14-Sep-2025 05:19 PM,Rejected-Technical,Dis-qualified,12-Nov-2025 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,8,3080552,NITYA PRAKASH ROUT,15-Sep-2025 11:31 AM,Rejected-AOC,L5,19-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,9,3080133,SANGRAM KESHARI LENKA,15-Sep-2025 01:36 PM,Accepted-AOC,L1,19-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,10,3079592,SURENDRA BHUYAN,15-Sep-2025 09:55 AM,Rejected-Technical,Insufficient Bid Capacity,12-Nov-2025 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
