Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Document downloaded,Soubhagya Kumar Das,11-Nov-2025 11:01 AM,finance_557781.pdf,BOQ Comparative Chart,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,10-Nov-2025 01:20 PM,11-Nov-2025 10:00 AM,techsummary_557781.pdf (751.71 KB),19-Dec-2025,"INR 5,084,068",60.0,Soubhagya Kumar Das,19-Dec-2025 12:45 PM,103SL.pdf (832.00 KB),1,3174296,ARATI TAREI,03-Nov-2025 12:31 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,1.0,3170063.0,SURYAKANTA SAHU,INR,"5,084,068",Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,19-Dec-2025 12:41 PM,finsummary_557781.pdf (832.14 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119946_3,04 SERW BLS 2025-26 (Double),Nilgiri PWD Road Santa Chhak to Belari road,Technical,Document downloaded,Soubhagya Kumar Das,04-Nov-2025 03:28 PM,technical_557781.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,"P.Cost, EMD, RC, Pan, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26 (Double),2025_CERWI_119946_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,11-Nov-2025 10:00 AM,Nilgiri PWD Road Santa Chhak to Belari road,Nilgiri PWD Road Santa Chhak to Belari road,Please refer tender documents ,NA ,"59,80,552",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,"59,806",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2,3165349,Bhabani Sankar Satapathy,30-Oct-2025 12:09 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,3164964,BHAJA GOBINDA NAYAK,29-Oct-2025 10:27 AM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3161016,BINIT KUMAR BEHERA,27-Oct-2025 08:14 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,3169359,BISHWARANJAN SALANGI,03-Nov-2025 06:39 AM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,3166544,CHANDAN KUMAR DHAL,01-Nov-2025 04:13 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,3170313,HRUDANANDA BEHERA,01-Nov-2025 10:59 AM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,3171862,MANOJ KUMAR SHAW,02-Nov-2025 03:42 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,3168072,NARAYAN BEHERA,01-Nov-2025 04:40 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,3177206,OM PRAKASH SAHOO,03-Nov-2025 01:16 PM,Rejected-AOC,Not Qualified,19-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
