S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3135840.0,BISHNU PRIYA MOHARAN,INR,"254,196",Finance,Bid opening,Avijit Barik,24-Nov-2025 11:56 AM,finance_555261.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,24-Nov-2025 12:52 PM,finsummary_555261.pdf (406.33 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119229_1,SERWSBD ONLINE 04-2025-26,S/R to RW Staff Qtr Building (2RA 32/1) at Sunabeda,Superintending Engineer,Internal,,Avijit Barik,24-Nov-2025 12:00 PM,techsummary_555261.pdf (468.42 KB),01-Dec-2025,"INR 254,196",60.0,Avijit Barik,16-Dec-2025 05:55 PM,Wo2RA321.pdf (873.00 KB),1,3133632,ADITYA KUMAR KHOSLA,18-Oct-2025 12:15 PM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,10-Oct-2025 11:00 AM,20-Oct-2025 03:00 PM,10-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,10-Oct-2025 11:00 AM ,18-Oct-2025 05:00 PM ,10-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",S/R to RW Staff Qtr Building (2RA 32/1) at Sunabeda,S/R to RW Staff Qtr Building (2RA 32/1) at Sunabeda,NA ,NA ,"2,99,019",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD ONLINE 04-2025-26,2025_CERWI_119229_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"3,000",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3130014,ASHOK KUMAR SAHU,18-Oct-2025 11:08 AM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3133527,ASWINI PANIGRAHY,19-Oct-2025 11:46 AM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3133217,BHAGIRATHI PANIGRAHY,19-Oct-2025 10:37 AM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3135840,BISHNU PRIYA MOHARAN,20-Oct-2025 07:07 AM,Accepted-AOC,Qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3127049,CH.BIBHUTI BHUSAN SHREE CHANDAN MAHENDRA BAHADUR,14-Oct-2025 09:55 AM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3136042,DEBABRATA ROUT,19-Oct-2025 03:27 PM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3132944,KAILASH CHANDRA CHOUDHURY,17-Oct-2025 11:28 PM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3128251,MINAKSHI TRIPATHY,14-Oct-2025 07:30 PM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3130115,M/S BANABASI ROUT,15-Oct-2025 08:09 PM,Rejected-AOC,Not qualified,16-Dec-2025 05:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
