Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,"6,000",Nil,Nil,No,"13,420",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Renovation of drain from 000 9 to 000 12 at Civil Township, Ward No. 9 under RMC, Rourkela",Works,Please refer Tender documents. ,NA ,"13,42,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN",AOC,Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:25 PM,finance_550238.pdf,BOQ Comparative Chart,1,3066058,ANIL BEHERA (S.C),06-Sep-2025 04:14 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 01:17 PM,techsummary_550238.pdf (5017.75 KB),11-Dec-2025,"INR 1,140,919.58",45.0,Manas Biswal,11-Dec-2025 12:00 PM,BID33.pdf (5018.00 KB),Awarded to Braja Mohan Beura,1.0,3054045.0,BRAJA MOHAN BEURA,INR,"1,140,919.58",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,11-Dec-2025 11:57 AM,finsummary_550238.pdf (5017.74 KB),Rourkela Municipal Corporation,2025_RMC_117214_8,MC/RMC/33/2025,"Renovation of drain from 000 9 to 000 12 at Civil Township, Ward No. 9 under RMC, Rourkela",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,2,3059970,ARADHYA CONSTRUCTION,01-Sep-2025 06:56 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3055256,ARATI TRIPATHY,29-Aug-2025 05:35 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3054045,BRAJA MOHAN BEURA,29-Aug-2025 11:53 AM,Accepted-AOC,By The Tender Committee,11-Dec-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3060242,CHAKRA TANTY,01-Sep-2025 09:22 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3064441,CHIDA ORAM,05-Sep-2025 02:27 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3064409,MITRA SEKHAR PARIDA,05-Sep-2025 02:09 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3064459,MS KANHA CONSTRUCTION,05-Sep-2025 02:45 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3062457,M/S OM CONSTRUCTION,03-Sep-2025 01:42 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3065684,MS S R CONSTRUCTION,06-Sep-2025 01:24 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
