Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Selection and Appointment of L II Transport Contractor for Brahmagiri Block,Selection and appointment of Level II contractor for transportation of Custom Milled Rice from Rice Receiving Centre to Retail Centre of BRAHMAGIRI BLOCK,Please refer Tender documents. ,NA ,"43,41,976",Handling and Transportation,NA ,Tender,180.0,NA ,Brahmagiri Block,752011.0,Office Chamber of Chief CSO cum DM OSCSC Ltd Puri  ,Office Chamber of Chief CSO cum DM OSCSC Ltd Puri Near Govt Womens College Baligodown Puri ,29-Jul-2025 11:30 AM ,Collectorate Puri,No ,No,District Manager OSCSC Ltd Puri,Office of the Chief CSO cum DM OSCSC Ltd Baligodown Puri,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"5,900",0.0,Nil,Nil,No,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Puri,2240.0,2025_OSCSC_116017_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"2,17,099",No,fixed,,Nil,Nil,1.0,Correction of EMD,Fee,,1,ICICI BANK,25-Jul-2025 09:00 AM,12-Aug-2025 11:30 AM,25-Jul-2025 09:10 AM,11-Aug-2025 05:00 PM,25-Jul-2025 11:00 AM ,10-Aug-2025 05:00 PM ,25-Jul-2025 11:00 AM,11-Aug-2025 05:00 PM,22-Aug-2025 11:00 AM,AOC,COLLECTOR PURI,Internal,Chief CSO cum DM Puri TRO Puri DLO Puri DSWO Puri ADM Protocol Puri,SANJEEB KUMAR SAHU,04-Dec-2025 04:34 PM,finsummary_547174.pdf (2351.29 KB),Technical,Technical bid verified and found correct,SANJEEB KUMAR SAHU,20-Aug-2025 10:50 AM,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Puri,2025_OSCSC_116017_1,2240.0,Selection and Appointment of L II Transport Contractor for Brahmagiri Block,1.0,3023775.0,DILIP KUMAR DALAI,INR,37.64,1,3026188,DIJABAR PRADHAN,11-Aug-2025 01:13 PM,Rejected-Finance,Due to Highest rate quoted,04-Dec-2025 04:34 PM,04-Dec-2025,"INR 217,099",484.0,Gautam Sahoo,15-Dec-2025 05:27 PM,LIIAOC.pdf (1818.00 KB),Appointment of L II Transport Contractor for Brahmagiri Block (Lowest one),Finance,"At the time of verification, all required document found correct.",SANJEEB KUMAR SAHU,04-Dec-2025 12:55 PM,finance_547174.pdf,BOQ Comparative Chart,COLLECTOR PURI,Internal,Chief CSO cum DM OSCSC Ltd Puri RTO Puri DSWO Puri Dist Labour Officer Puri ADM Protocol Puri,SANJEEB KUMAR SAHU,20-Aug-2025 10:59 AM,22-Aug-2025 11:00 AM,techsummary_547174.pdf (2705.02 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3023775,DILIP KUMAR DALAI,11-Aug-2025 02:07 PM,Accepted-AOC,Quoted lowest price Rs 37.64 per qtl.,15-Dec-2025 05:27 PM,,,,,,,,,,,,,,,,,,,,,AOC
