Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of Bhatiguda Check Dam over Bakadajhola nalla in Boipariguda Block of Koraput District under MATY Scheme,Construction of Bhatiguda Check Dam over Bakadajhola nalla in Boipariguda Block of Koraput District under MATY Scheme.,Please refer Tender documents. ,NA ,"41,21,056",Civil Works - Water Works,NA ,Tender,90.0,150.0,Boipariguda,764043.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,08-Sep-2025 10:00 AM,24-Sep-2025 11:00 AM,08-Sep-2025 10:00 AM,23-Sep-2025 05:00 PM,NA ,NA ,08-Sep-2025 10:00 AM,23-Sep-2025 05:00 PM,"41,300",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY05/2025-26,2025_CEMIB_117773_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN,License,Affidavit and as per DTCN",AOC,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_117773_1,MIDJEY05/2025-26,Construction of Bhatiguda Check Dam over Bakadajhola nalla in Boipariguda Block of Koraput District under MATY Scheme,Superintending Engineer,Internal,,Nihar Ranjan Behera,29-Dec-2025 04:04 PM,finsummary_551814.pdf (173.68 KB),Finance,On Opening the bids total 26nos. of bids were found to be received online. Out of which 2nos. bids were not qualified due to PAN GSTIN License in PDF and wrong bidder name in the BOQ submitted.Hence 24nos.of bids were found to be valid.,Nihar Ranjan Behera,25-Oct-2025 05:19 PM,finance_551814.pdf,BOQ Comparative Chart,1.0,3090216.0,AMIT KUMAR SAHU,INR,"3,503,309",1,3090360,ABHISHEK PATRA,20-Sep-2025 08:04 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,29-Dec-2025,"INR 3,503,309",150.0,Nihar Ranjan Behera,29-Dec-2025 04:11 PM,Bhatigudawo.pdf (152.00 KB),Aoc,Superintending Engineer,Internal,,Nihar Ranjan Behera,25-Oct-2025 05:30 PM,techsummary_551814.pdf (160.99 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,3090216,AMIT KUMAR SAHU,21-Sep-2025 12:46 PM,Accepted-AOC,Accept,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3091214,Asok Kumar Bhuyan,20-Sep-2025 06:50 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3096708,BABU NAHAK,23-Sep-2025 01:09 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3091302,BALABHADRA SISA,20-Sep-2025 08:46 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not Qualified due to non submission of valid PAN GSTIN License Affidavit as per DTCN in PDF.,25-Oct-2025 05:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3096642,GOURI SANKAR PANDA,23-Sep-2025 04:42 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3096987,JANMEJAYA CHHOTARAY,23-Sep-2025 03:08 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3096374,JYOTI RANI PATI,23-Sep-2025 01:29 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not Qualified due to wrong bidder name in the BOQ submitted,25-Oct-2025 05:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3090036,K. MOULIDHAR,20-Sep-2025 12:27 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3096499,MAHENDRA DAS,23-Sep-2025 04:27 PM,Rejected-AOC,Reject,29-Dec-2025 04:11 PM,,,,,,,,,,,,,,AOC
