Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",Improvement such as widening and strengthening of Mundoghat to Charnpur road from Ch. 0-00 km to 1-800 Km 4-lane road under State Plan for the year 2025-26,Road Work,Please refer Tender documents. ,NA ,"8,02,17,711",Civil Works - Roads,NA ,Tender,90.0,180.0,sambalpur,768005.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,"8,02,200",Yes,fixed,,Nil,Nil,02-May-2025 09:00 AM,17-May-2025 11:00 AM,02-May-2025 09:00 AM,16-May-2025 05:00 PM,02-May-2025 09:00 AM ,09-May-2025 05:00 PM ,02-May-2025 09:00 AM,16-May-2025 05:00 PM,07-Jul-2025 04:00 PM,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /21/ 2024-25,2025_EICCL_112861_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",AOC,Technical,TECHNICAL BID OPENED,Hemant Naik,18-May-2025 08:15 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_112861_1,CCENC (R AND B) /21/ 2024-25,Improvement such as widening and strengthening of Mundoghat to Charnpur road from Ch. 0-00 km to 1-800 Km 4-lane road under State Plan for the year 2025-26,CCE NC SBP,Internal,,Hemant Naik,12-Dec-2025 09:03 PM,finsummary_537810.pdf (1880.31 KB),1.0,2916995.0,M/S SUN CONSTRUCTION,INR,"68,193,076",12-Dec-2025,"INR 68,193,076",180.0,Hemant Naik,12-Dec-2025 09:07 PM,AGTMUNDO.pdf (304.00 KB),AGT DRAWN,1,2919403,MAA SANTOSHI ENTERPRISES,15-May-2025 11:08 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,CCE NC,Internal,,SUCHISMITA SAHU,05-Jul-2025 06:28 PM,07-Jul-2025 04:00 PM,techsummary_537810.pdf (244.15 KB),Finance,FINANCIAL BID OPENED,Hemant Naik,07-Jul-2025 07:38 PM,,BOQ Comparative Chart,AOC
,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2917808,MONALISA ENGICONS,15-May-2025 05:09 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2917816,M/S SUMEET & ASSOCIATES,15-May-2025 05:26 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2916995,M/S SUN CONSTRUCTION,16-May-2025 11:45 AM,Accepted-AOC,AGT DRAWN,12-Dec-2025 09:07 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2920314,Paban Kumar Agrawal,16-May-2025 11:36 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2912454,PRAVEEN AGRAWAL,15-May-2025 12:34 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2918545,PYARIMOHAN PRADHAN,15-May-2025 02:33 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2921040,RUPESH AGRAWAL PROP. R S INFRA,16-May-2025 04:16 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2910878,SANAT KUMAR PANDA,14-May-2025 08:49 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2912668,SAYED ABDUL SIRAJ,12-May-2025 06:21 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,12-Dec-2025 09:03 PM,,,,,,,,,,,,,,AOC
