S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3092674.0,JAGADAMBA CONSTRUCTION,INR,"26,546,986.91",Ashoka Kumar Sahoo,Internal,Ashoka Kumar Sahoo,Ashoka Kumar Sahoo,10-Dec-2025 06:49 PM,finsummary_551944.pdf (411.10 KB),CE RW I||RW-CIRCLE-SUNDARGARH,2025_CERWI_117824_6,RWCCESNG-09 of 2025-26,Improvement to L070- Dumerdihi to Naikbandhapali Road in the District of Jharsuguda under MMSY- Improvement of Existing RD Road for the year 2024-25,Technical,9 Nos. of Bidders,Ashoka Kumar Sahoo,24-Sep-2025 04:22 PM,,Finance,7 Nos. of Bidders,Ashoka Kumar Sahoo,27-Oct-2025 06:04 PM,finance_551944.pdf,BOQ Comparative Chart,Ashoka Kumar Sahoo,Internal,Ashoka Kumar Sahoo,Ashoka Kumar Sahoo,22-Oct-2025 07:33 PM,27-Oct-2025 11:00 AM,techsummary_551944.pdf (357.52 KB),10-Dec-2025,"INR 31,228,075.41",270.0,Ashoka Kumar Sahoo,10-Dec-2025 06:53 PM,4620.pdf (979.00 KB),1,3092829,AMAN BADHAN,21-Sep-2025 08:49 PM,Rejected-Finance,Not Qualified,10-Dec-2025 06:49 PM,AOC,CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-09 of 2025-26,2025_CERWI_117824_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,12,281",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate, PAN, GSTIN, EMD, Tender Paper Cost",1.0,ICICI BANK,"CCE RW Circle, Sundargarh","O/O The CCE RW Circle, Sundargarh",09-Sep-2025 06:00 PM,24-Sep-2025 11:00 AM,09-Sep-2025 06:00 PM,23-Sep-2025 05:00 PM,09-Sep-2025 06:00 PM ,22-Sep-2025 05:00 PM ,09-Sep-2025 06:00 PM,23-Sep-2025 05:00 PM,27-Oct-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,Improvement to L070- Dumerdihi to Naikbandhapali Road in the District of Jharsuguda under MMSY- Improvement of Existing RD Road for the year 2024-25,Improvement to L070- Dumerdihi to Naikbandhapali Road in the District of Jharsuguda under MMSY- Improvement of Existing RD Road for the year 2024-25,Please refer Tender documents. ,NA ,"3,12,28,075",Civil Works - Roads,NA ,Tender,90.0,270.0,Jharsuguda,768204.0,NA ,NA ,NA ,"O/O The CCE RW Circle, Sundargarh",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3097180,ANKIT KUMAR BAJAJ,23-Sep-2025 04:43 PM,Rejected-Technical,Diqualified due to inadequate work experience as per DTCN Clause 2.2.1,22-Oct-2025 07:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Work Experience, Machinery, Turn Over, etc as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3085876,Binod Kumar Agrawal,22-Sep-2025 10:57 PM,Rejected-Technical,Due to Non Submission of Declaration for Establishment of Hot Mix Plant within 60 Km from the work site as per DTCN Cluase 1.2.11(Disqualified),22-Oct-2025 07:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3092674,JAGADAMBA CONSTRUCTION,22-Sep-2025 12:29 PM,Accepted-AOC,Successful Bidder by Lottery,10-Dec-2025 06:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3091281,KISHANRAJ CHAKRA,23-Sep-2025 01:33 AM,Rejected-Finance,Not Qualified,10-Dec-2025 06:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3096972,MS SHREE SHARDA CONSTRUCTIONS,23-Sep-2025 02:55 PM,Rejected-Finance,Not Qualified,10-Dec-2025 06:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3094164,M/S SUMEET & ASSOCIATES,23-Sep-2025 12:50 PM,Rejected-Finance,Not Qualified,10-Dec-2025 06:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3089581,NILIMA NAIK,23-Sep-2025 11:53 AM,Rejected-Finance,Not Qualified,10-Dec-2025 06:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3083271,PRAHALLAD MAJHI,23-Sep-2025 12:08 PM,Rejected-Finance,Not Qualified,10-Dec-2025 06:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
