Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,22-Sep-2025 03:41 PM,finsummary_545653.pdf (1061.40 KB),Rourkela Municipal Corporation,2025_RMC_115396_8,MC/RMC/31/2025,"Construction of AWC buildings at Kishan Tola 01, Ward No 4 under RMC, Rourkela.",1.0,3006569.0,MAA SAMALEI TRADERS,INR,"1,226,861.56",12-Dec-2025,"INR 1,226,861.56",120.0,Manas Biswal,12-Dec-2025 12:00 PM,BID31.pdf (1061.00 KB),Awarded to Maa Samalei Traders,1,3007346,ANIL BEHERA (S.C),21-Jul-2025 04:16 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,22-Sep-2025 11:42 AM,techsummary_545653.pdf (1061.40 KB),Finance,EMD refund,Manas Biswal,22-Sep-2025 11:15 AM,finance_545653.pdf,BOQ Comparative Chart,AOC,Rourkela Municipal Corporation,MC/RMC/31/2025,2025_RMC_115396_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",10-Jul-2025 06:00 PM,22-Jul-2025 11:00 AM,10-Jul-2025 06:00 PM,21-Jul-2025 05:00 PM,NA ,NA ,10-Jul-2025 06:00 PM,21-Jul-2025 05:00 PM,"14,430",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,1.0,ICICI BANK,"Construction of AWC buildings at Kishan Tola 01, Ward No 4 under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"14,43,000",Civil Works - Others,NA ,Tender,90.0,120.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,2,3000198,ARADHYA CONSTRUCTION,15-Jul-2025 06:24 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3000162,ARATI TRIPATHY,15-Jul-2025 05:45 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3006774,GYANA RANJAN DAS,21-Jul-2025 01:21 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3004669,KALIA CONSTRUCTION,19-Jul-2025 09:10 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3006569,MAA SAMALEI TRADERS,21-Jul-2025 12:31 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 12:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3004138,MANORANJAN JENA,19-Jul-2025 02:49 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3002966,SASMITA SAMAL,20-Jul-2025 11:12 AM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3000991,S B ENTERPRISES,16-Jul-2025 02:16 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3004061,SIBARAM SAHU,19-Jul-2025 01:37 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:42 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
