EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,72,000",Yes,fixed,,Nil,Nil,Executive Officer,"Executive Officer, Bhadrak Municipality","10,000",0.0,Nil,Nil,No,Construction and Development of Urban Park in Ward No.24,Construction and Development of Urban Park in Ward No.24,Please refer Tender documents. ,NA ,"1,71,61,194",Civil Works - Others,NA ,Tender,90.0,180.0,Bhadrak Municipality,756100.0,"Executive Officer, Bhadrak Municipality ","Executive Officer, Bhadrak Municipality ",20-Jun-2025 11:00 AM ,"Executive Officer, Bhadrak Municipality",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",1.0,ICICI BANK,13-Jun-2025 10:00 AM,04-Jul-2025 11:00 AM,13-Jun-2025 10:00 AM,03-Jul-2025 05:00 PM,NA ,NA ,13-Jun-2025 10:00 AM,03-Jul-2025 05:00 PM,13-Aug-2025 11:00 AM,Municipal Bodies||Bhadrak Municipality,BM-BDK-04-2025-26,2025_ORULB_114409_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,16-Dec-2025,"INR 15,446,791",180.0,Sourav Chakrabarty,16-Dec-2025 06:40 PM,3.pdf (261.00 KB),work order issued,1,2987832,Kailash Chandra Jena,03-Jul-2025 04:04 PM,Rejected-AOC,Quoted first lowest,16-Dec-2025 06:40 PM,Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,12-Aug-2025 05:04 PM,13-Aug-2025 11:00 AM,techsummary_542934.pdf (1634.34 KB),Finance,ok,TAPASA KUMAR SAMAL,13-Aug-2025 11:45 AM,,BOQ Comparative Chart,Technical,ok,TAPASA KUMAR SAMAL,04-Jul-2025 11:32 AM,,Municipal Bodies||Bhadrak Municipality,2025_ORULB_114409_3,BM-BDK-04-2025-26,Construction and Development of Urban Park in Ward No.24,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,16-Dec-2025 06:36 PM,finsummary_542934.pdf (1634.05 KB),1.0,2986914.0,Laxmidhar Mallik,INR,"15,446,791",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"undertakings, list of machineries and special conditions if any specifically mentioned by the OIT",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2986914,Laxmidhar Mallik,03-Jul-2025 01:01 PM,Accepted-AOC,Quoted second lowest and work awarded due to SC Contractor giving price preference,16-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2987708,SAMBIT KUMAR JENA,03-Jul-2025 01:48 PM,Rejected-AOC,Quoted second lowest,16-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
