S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3033053.0,SOMANATH PATI,INR,"357,096",Finance,total,Saraseebala Behera,20-Aug-2025 05:37 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Lambodar Naik,10-Dec-2025 04:10 PM,finsummary_548344.pdf (402.39 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_116496_1,"TCN-06 RWD-II,BHADRAK",Repair to R.I Office Building at Jagannathprasad for the year 2025-26 in the District of Bhadrak,Executive Engineer,Internal,,Lambodar Naik,10-Dec-2025 04:06 PM,techsummary_548344.pdf (286.33 KB),1,3027389,Amaresh Kumar Biswal,07-Aug-2025 04:46 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,10-Dec-2025,"INR 357,096",30.0,Lambodar Naik,10-Dec-2025 04:14 PM,soma.pdf (422.00 KB),AOC,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,"TCN-06 RWD-II,BHADRAK",2025_CERWI_116496_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,200",Yes,fixed,,Nil,Nil,Repair to R.I Office Building at Jagannathprasad for the year 2025-26 in the District of Bhadrak,Repair to R.I Office Building at Jagannathprasad for the year 2025-26 in the District of Bhadrak,NA ,NA ,"4,20,064",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BHADRAK",No ,No,05-Aug-2025 06:00 PM,14-Aug-2025 11:00 AM,05-Aug-2025 06:00 PM,13-Aug-2025 05:00 PM,05-Aug-2025 06:00 PM ,13-Aug-2025 03:00 PM ,05-Aug-2025 06:00 PM,13-Aug-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION NO.II, BHADRAK","2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, CONTRACTOR REGISTRATION CERTIFICATE, PAN, GSTIN, AFFIDAVIT, ETC",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3033625,ARJUN CHANDRA SAHU,12-Aug-2025 09:10 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3034137,BHARAT KUMAR DAS,13-Aug-2025 07:08 AM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3031013,BIBHURANJAN DAS,12-Aug-2025 11:30 AM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3033083,Bidyadhar Sahoo,12-Aug-2025 01:31 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3034878,KRUPASINDHU MAJHI,13-Aug-2025 04:22 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3034360,LILIMA SAHOO,13-Aug-2025 01:30 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3034625,MAA TARINI FABRICATION,13-Aug-2025 03:22 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3034071,MADHU SUDAN SAHOO,13-Aug-2025 01:00 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3034174,MAHABIR CONSTRUCTION,13-Aug-2025 12:25 PM,Rejected-AOC,rejected,10-Dec-2025 04:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
