Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Document downloaded,Soubhagya Kumar Das,07-Nov-2025 01:42 PM,finance_557540.pdf,BOQ Comparative Chart,1.0,3166193.0,PRANABANDHU BARIK,INR,"635,341",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_48,04 SERW BLS 2025-26,PWD Road to Tulangadabu road,1,3174035,DEBASMITA NAYAK,02-Nov-2025 06:35 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,10-Dec-2025,"INR 635,341",60.0,Soubhagya Kumar Das,10-Dec-2025 12:58 PM,48Sl.pdf (613.00 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,10-Dec-2025 12:51 PM,techsummary_557540.pdf (612.91 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,10-Dec-2025 12:55 PM,finsummary_557540.pdf (612.91 KB),AOC,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",PWD Road to Tulangadabu road,PWD Road to Tulangadabu road,Please refer tender documents ,NA ,"7,47,372",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","7,474",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_48,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3168577,DHARAMJIT NAYAK,30-Oct-2025 06:04 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,3,3171229,HEMANTA KUMAR TAREI,03-Nov-2025 05:13 AM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3174187,Itishree Mohanty,03-Nov-2025 12:29 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3174503,MAA JAGADHATRI LCCS LTD,02-Nov-2025 04:08 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3175849,MS KALYANI ELECTRICALS AND CONSTRUCTION,03-Nov-2025 06:34 AM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3168391,NILAMBAR MOHAPATRA,30-Oct-2025 08:41 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3164970,PANKAJ KUMAR PATRA,28-Oct-2025 09:52 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3175958,PRADEEPTI CHAND,03-Nov-2025 07:02 AM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3178231,PRAJNA PARAMITA BARIK,03-Nov-2025 04:50 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3166193,PRANABANDHU BARIK,29-Oct-2025 04:26 PM,Accepted-AOC,Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3174853,RABINDRA NATH PARIDA,03-Nov-2025 01:44 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3168436,RAMAKRUSHNA MOHAPATRA,01-Nov-2025 02:11 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3176134,SATYABRATA DAS,03-Nov-2025 09:44 AM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3171790,SURESH CHANDRA SANKHUA,01-Nov-2025 12:55 PM,Rejected-AOC,Not Qualified,10-Dec-2025 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
