Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
17-Dec-2025,"INR 597,522",60.0,Soubhagya Kumar Das,17-Dec-2025 12:37 PM,12S.pdf (909.00 KB),1.0,3173666.0,MANASI MOHAPATRA,INR,"597,522",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_12,04 SERW BLS 2025-26,ITR Road to Patrapada road,1,3169169,BASANTA KUMAR PATRA,31-Oct-2025 11:13 AM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,Finance,Document downloaded,Soubhagya Kumar Das,05-Nov-2025 01:20 PM,finance_557485.pdf,BOQ Comparative Chart,Soubhagya Kumar Das,Internal,,Priyadarshini Behera,16-Dec-2025 11:11 AM,finsummary_557485.pdf (907.41 KB),Soubhagya Kumar Das,Internal,,Priyadarshini Behera,16-Dec-2025 10:54 AM,techsummary_557485.pdf (610.26 KB),AOC,"5,975",Yes,percentage,1.0%,Nil,Nil,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN",1.0,ICICI BANK,ITR Road to Patrapada road,ITR Road to Patrapada road,Please refer tender documents ,NA ,"5,97,522",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3170797,BIMALENDU MOULI BARIK,01-Nov-2025 12:03 PM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3176321,MADAN BEHERA,03-Nov-2025 11:25 AM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3173666,MANASI MOHAPATRA,02-Nov-2025 10:32 AM,Accepted-AOC,Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3164835,MAUSUMI BEHERA,31-Oct-2025 12:53 PM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3170255,MONALISHA ENTERPRISE,02-Nov-2025 07:41 PM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3163492,PANKAJ KUMAR PATRA,28-Oct-2025 05:06 PM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3171588,PINTU BAITHA(S.C),02-Nov-2025 02:03 PM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3164174,SATYA NARAYAN BEHERA,01-Nov-2025 06:52 PM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3168877,SWAGATIKA MOHAPATRA,31-Oct-2025 12:36 AM,Rejected-AOC,Not Qualified,17-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
