Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,11 Nos of bidders admitted,Ashwani Pradhan,06-Nov-2025 06:00 PM,,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,01-Sep-2025 01:04 PM,04-Sep-2025 11:00 AM,techsummary_546496.pdf (1003.41 KB),1,3016792,AMBIKA PRASAD SINGH,29-Jul-2025 04:05 PM,Rejected-Technical,Insufficinet similar nature of work experience.,01-Sep-2025 01:04 PM,24-Nov-2025,"INR 34,565,190",365.0,Akshaya Kumar Naik,22-Dec-2025 07:47 PM,BaduskiAgt.pdf (1491.00 KB),1.0,3018347.0,RAMDEV KHUNTIA,INR,"34,565,190","CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,11-Nov-2025 01:12 PM,finsummary_546496.pdf (824.40 KB),CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_115753_1,NCB380,Construction of H.L bridge over Bhandan river at 1.800 K.M. on Baduski to Bandirabasa road in the district of Mayurbhanj.,Technical,14 Nos of Bidders Participated,Akshaya Kumar Naik,31-Aug-2025 10:13 AM,technical_546496.pdf,AOC,CE RW I||RWCIRCLE-BARIPADA,NCB380,2025_CERWI_115753_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,19-Jul-2025 03:00 PM,31-Jul-2025 11:00 AM,19-Jul-2025 03:00 PM,30-Jul-2025 05:00 PM,19-Jul-2025 03:00 PM ,29-Jul-2025 05:00 PM ,19-Jul-2025 03:00 PM,30-Jul-2025 05:00 PM,04-Sep-2025 11:00 AM,Construction of H.L bridge over Bhandan river at 1.800 K.M. on Baduski to Bandirabasa road in the district of Mayurbhanj.,Construction of H.L bridge over Bhandan river at 1.800 K.M. on Baduski to Bandirabasa road in the district of Mayurbhanj.,NA ,NA ,"4,06,61,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Mayurbhanj,757105.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Circle Officer,"RURAL WORKS CIRCLE, BARIPADA","4,06,610",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",AOC
,,,,,,,,,,,,,2,3018464,DASARATHI TRIPATHY,30-Jul-2025 04:56 PM,Rejected-Technical,Insufficinet similar nature of work experience.,01-Sep-2025 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",AOC
,,,,,,,,,,,,,3,3016929,JEETESH RANJAN BEHERA,29-Jul-2025 09:01 PM,Rejected-AOC,L1,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",AOC
,,,,,,,,,,,,,4,3017808,MANOJ KUMAR MOHANTY,30-Jul-2025 02:09 PM,Rejected-AOC,L1,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,5,3015685,Ms SHREE RADHA KRISHNA INFRASTRUCTURE,30-Jul-2025 02:49 PM,Rejected-AOC,L2,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3012545,Nanda Kishore Bindhani,30-Jul-2025 01:06 PM,Rejected-AOC,L7,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3006061,PANKAJ KUMAR PANDA,30-Jul-2025 04:37 PM,Rejected-AOC,L3,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3016707,RAJESH PANIGRAHI,30-Jul-2025 01:12 PM,Rejected-AOC,L1,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3018347,RAMDEV KHUNTIA,30-Jul-2025 04:18 PM,Accepted-AOC,L1,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3015670,RANJAN KUMAR SWAIN,28-Jul-2025 06:31 PM,Rejected-AOC,L6,22-Dec-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
