Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,Admitted,Sujata Mishra,14-Dec-2025 05:07 PM,,BOQ Comparative Chart,"Collector, Kalahandi",Internal,"ADM Kalahandi CCSO kalahandi RTO kalahandi, DLO Kalahandi DSWO Kalahandi",Sujata Mishra,09-Oct-2025 05:18 PM,13-Oct-2025 04:00 PM,techsummary_552984.pdf (152.61 KB),1,3097117,M/S AGRAWAL DISTRIBUTORS,26-Sep-2025 06:26 PM,Rejected-Finance,L2,14-Dec-2025 05:25 PM,22-Dec-2025,"INR 459,485",600.0,Sujata Mishra,22-Dec-2025 04:26 PM,L2_PROCEEDING.pdf (594.00 KB),1.0,3102704.0,SRIRAM CARRIERS,INR,36.18,"Collector, Kalahandi",Internal,"ADDL DIST MAGISTRATE GENEREAL KALAHANDI, CCSO KALAHANDI, RTO KALAHANDI, DLO KALAHANDI, DSWO KALAHANDI",Sujata Mishra,14-Dec-2025 05:25 PM,finsummary_552984.pdf (547.60 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kalahandi,2025_OSCSC_118196_1,2641/18.09.2025,For appointment of level-II contractor for transportation of CMR from RRC to FPS of Kesinga Block / NAC,Technical,For appointment of level-II contractor for transportation of CMR from RRC to FPS of Kesinga Block / NAC,Sujata Mishra,09-Oct-2025 05:07 PM,,AOC,1.0,ICICI BANK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kalahandi,2641/18.09.2025,2025_OSCSC_118196_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"2,29,743",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appointment of level-II contractor for transportation of CMR from RRC to FPS of Kesinga Block NAC,19-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,19-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,19-Sep-2025 11:00 AM ,22-Sep-2025 11:00 AM ,19-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,13-Oct-2025 04:00 PM,1.0,Modification in APPENDIX-I,Technical Bid,,For appointment of level-II contractor for transportation of CMR from RRC to FPS of Kesinga Block / NAC,Appointment of level-II contractor for transportation of CMR from RRC to FPS of Kesinga Block / NAC,Please refer Tender documents. ,NA ,"45,94,841",Handling and Transportation,NA ,Rate Contract,180.0,600.0,"Kalahandi, Kesinga Block/NAC",766012.0,"Office of the CCSO-cum-DM, OSCSC Ltd., Kalahandi ","Office of the Chief CSO-cum-District Manager, OSCSC Ltd., Kalahandi, Bhawanipatna, 766001 ",22-Sep-2025 11:00 AM ,"Office of the CCSO-cum-DM, OSCSC Ltd., Kalahandi",No ,No,"5,900",0.0,Nil,Nil,No,"CCSO-cum-DM, OSCSC Ltd., Kalahandi","Office of the Chief CSO-cum-District Manager, OSCSC Ltd., Kalahandi, Bhawanipatna, 766001",AOC
,,,,,,,,,,,,,2,3102704,SRIRAM CARRIERS,01-Oct-2025 05:12 PM,Accepted-AOC,L1,22-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Appointment of level-II contractor for transportation of CMR from RRC to FPS of KesingaBlock NAC BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3096517,SRI SAROJ KUMAR AGRAWAL,26-Sep-2025 08:17 PM,Rejected-Finance,L3,14-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
