Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Superintending Engineer,Internal,,Avijit Barik,16-Dec-2025 02:10 PM,techsummary_555152.pdf (489.40 KB),1,3131626,BINITA MANDINGI,19-Oct-2025 06:32 PM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,16-Dec-2025,"INR 339,187",60.0,Avijit Barik,16-Dec-2025 02:17 PM,WOAOQtrnpat.pdf (888.00 KB),1.0,3130777.0,HABIKA RABI,INR,"339,187",Finance,Bid opening,Avijit Barik,16-Dec-2025 02:07 PM,finance_555152.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,16-Dec-2025 02:14 PM,finsummary_555152.pdf (405.51 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119138_1,SERWSBD Online 04 2025 26,S/R to A.O. qtr. building at Narayanpatna,AOC,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 04 2025 26,2025_CERWI_119138_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Oct-2025 05:00 PM,20-Oct-2025 03:00 PM,09-Oct-2025 05:00 PM,20-Oct-2025 11:00 AM,09-Oct-2025 05:00 PM ,18-Oct-2025 05:00 PM ,09-Oct-2025 05:00 PM,20-Oct-2025 11:00 AM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",S/R to A.O. qtr. building at Narayanpatna,S/R to A.O. qtr. building at Narayanpatna,NA ,NA ,"3,98,996",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,"4,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,2,3134470,CHALA RADHA KUMARI,18-Oct-2025 05:09 PM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,3,3137328,DEBENDRA PUSIKA,20-Oct-2025 07:15 AM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3135277,GUPTA BISOI,19-Oct-2025 12:54 PM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3130777,HABIKA RABI,16-Oct-2025 12:35 PM,Accepted-AOC,Qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3133964,JOSADA KHARA,18-Oct-2025 01:12 PM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3133783,KARTIKA DEBARAPALLI,19-Oct-2025 10:41 AM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3134484,NIHARIKA NAYAK,18-Oct-2025 02:07 PM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3135245,NIRMALA KANDA,19-Oct-2025 11:14 AM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3136034,PIDIKA DAMANA,19-Oct-2025 05:53 PM,Rejected-AOC,Not qualified,16-Dec-2025 02:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
