Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG1-A1/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG1-A1/2025-26,N.A. ,NA ,"2,29,76,000",Civil Works - Roads,NA ,Tender,90.0,180.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",06-Aug-2025 06:55 PM,16-Aug-2025 11:00 AM,06-Aug-2025 06:55 PM,14-Aug-2025 05:00 PM,06-Aug-2025 06:55 PM ,13-Aug-2025 02:00 PM ,06-Aug-2025 06:55 PM,14-Aug-2025 05:00 PM,24-Oct-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"2,29,800",Yes,fixed,,Nil,Nil,AOC,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,24-Dec-2025 07:47 PM,finsummary_548544.pdf (689.67 KB),Technical,bidders name,Rinku Nahak,20-Oct-2025 01:16 PM,technical_548544.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_1,CCERWCSBD Online - 07/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG1-A1/2025-26,1.0,3034204.0,DURMAN MUDULI (S.T),INR,"19,532,107.01",1,3032212,Banoj kumar patra,12-Aug-2025 06:50 PM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,24-Dec-2025,"INR 22,976,246.33",180.0,Rinku Nahak,24-Dec-2025 07:53 PM,AOCMKG1A1.pdf (775.00 KB),Award of contract to Sri Durman Muduli through transparency lottery system,Finance,cs,Rinku Nahak,24-Dec-2025 07:34 PM,finance_548544.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Rinku Nahak,20-Oct-2025 01:25 PM,24-Oct-2025 11:00 AM,techsummary_548544.pdf (841.14 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3036207,BATU PRAVEEN KUMAR,14-Aug-2025 04:17 PM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3035085,Bharat Mirgan,14-Aug-2025 01:58 PM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3035834,CHETAN BISOI,14-Aug-2025 01:25 PM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3033860,Dilip Somani,14-Aug-2025 11:45 AM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3034204,DURMAN MUDULI (S.T),13-Aug-2025 10:27 PM,Accepted-AOC,Award of contract to DURMAN MUDULI through transparency lottery system,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3035352,GOBINDA CHANDRA NAYAK,13-Aug-2025 10:50 PM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3033740,NARAYAN BISOI,13-Aug-2025 09:01 AM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3034357,Raghunandan Agrawal,13-Aug-2025 07:40 PM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3035305,SAMIR KUMAR MEHER,14-Aug-2025 10:58 AM,Rejected-AOC,REJECT,24-Dec-2025 07:54 PM,,,,,,,,,,,,,,,,,,,,,AOC
