S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2949124.0,BINAYAK CONSTRUCTION AND ENGINEERS PVT LTD,INR,"16,074,309.73",CCE ABP,Internal,,Manas Ranjan Mandal,20-Dec-2025 04:04 PM,finsummary_541240.pdf (551.81 KB),Technical,Summary uploaded,ABINASH ROUL,03-Jun-2025 05:31 PM,technical_541240.pdf,"CCE,Anandapur Barrage Project||CCE,Anandapur",2025_CCEAB_113882_1,CCEABP-10 OF 2025-26,"Restoration to downstream side damaged curtain walls, dislodged Concrete Blocks in front of Bay No-7 to 9 of Anandapur Barrage.",Finance,Summary uploaded,ABINASH ROUL,10-Jun-2025 11:05 AM,finance_541240.pdf,BOQ Comparative Chart,CCE ABP,Internal,,ABINASH ROUL,09-Jun-2025 12:58 PM,10-Jun-2025 10:30 AM,techsummary_541240.pdf (558.33 KB),1,2947831,Bhagabati build and constructions Pvt Ltd,02-Jun-2025 04:53 PM,Rejected-Finance,2nd lowest,20-Dec-2025 04:04 PM,20-Dec-2025,"INR 16,074,309.73",30.0,Manas Ranjan Mandal,20-Dec-2025 04:17 PM,AOC.pdf (490.00 KB),AOC,1,ICICI BANK,"CCE,ABP,SALAPADA","CCE,ABP,SALAPADA",28-May-2025 11:30 AM,03-Jun-2025 05:00 PM,28-May-2025 11:30 AM,03-Jun-2025 01:00 PM,NA ,NA ,28-May-2025 11:30 AM,03-Jun-2025 01:00 PM,10-Jun-2025 10:30 AM,"CCE,Anandapur Barrage Project||CCE,Anandapur",CCEABP-10 OF 2025-26,2025_CCEAB_113882_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Bid,"Restoration to downstream side damaged curtain walls, dislodged Concrete Blocks in front of Bay No-7 to 9 of Anandapur Barrage.","Restoration to downstream side damaged curtain walls, dislodged Concrete Blocks in front of Bay No-7 to 9 of Anandapur Barrage.",Please refer Tender documents. ,NA ,"1,53,00,000",Civil Works - Others,NA ,Rate Contract,90.0,30.0,Salapada,758020.0,NA ,NA ,NA ,"CCE,ABP,SALAPADA",No ,No,"10,000",0.0,Nil,Nil,No,"1,53,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2949124,BINAYAK CONSTRUCTION AND ENGINEERS PVT LTD,02-Jun-2025 06:19 PM,Accepted-AOC,1ST LOWEST,20-Dec-2025 04:17 PM,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
