Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 04 2025 26,2025_CERWI_119198_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Yes,fixed,,Nil,Nil,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",SR to 2 nos E type Qtr building at Tahasil Pottangi,SR to 2 nos E type Qtr building at Tahasil Pottangi,NA ,NA ,"5,98,048",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,10-Oct-2025 11:00 AM,20-Oct-2025 03:00 PM,10-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,10-Oct-2025 11:00 AM ,18-Oct-2025 05:00 PM ,10-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,"4,000",0.0,Nil,Nil,No,AOC,22-Dec-2025,"INR 508,400",60.0,Avijit Barik,22-Dec-2025 05:52 PM,Wo2Etahoot.pdf (883.00 KB),1,3131977,BABULI KUMAR SIYA,17-Oct-2025 11:45 AM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,Superintending Engineer,Internal,,Avijit Barik,22-Dec-2025 04:54 PM,techsummary_555229.pdf (421.95 KB),Superintending Engineer,Internal,,Avijit Barik,22-Dec-2025 04:58 PM,finsummary_555229.pdf (409.04 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119198_1,SERWSBD Online 04 2025 26,SR to 2 nos E type Qtr building at Tahasil Pottangi,1.0,3127972.0,Balabhadra Khillo,INR,"508,400",Finance,Bid opening,Avijit Barik,19-Dec-2025 05:51 PM,finance_555229.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3127972,Balabhadra Khillo,14-Oct-2025 08:39 PM,Accepted-AOC,Qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3129734,Bhaskar Haroku Barik,15-Oct-2025 06:45 PM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3131596,Dasaratha Khillo,16-Oct-2025 07:35 PM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3134920,JOSADA KHARA,18-Oct-2025 05:07 PM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3132907,KAILASH CHANDRA CHOUDHURY,17-Oct-2025 10:40 PM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3137025,KARTIKA DEBARAPALLI,19-Oct-2025 10:54 PM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3135603,PADMA CHARAN BISOI,19-Oct-2025 12:57 PM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3130472,RAJENDRA SWAIN,16-Oct-2025 06:04 AM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3135310,SANTOSH KUMAR PRADHAN,19-Oct-2025 11:36 AM,Rejected-AOC,Not qualified,22-Dec-2025 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
