S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Stage
1.0,3032565.0,SURJIT PATEL,INR,"2,399,112",ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_116140_21,ITDASNG-03/2025-26,Construction of twin staff quarters (2 Units Non Teaching) at Chakramal Sevashram under Tangarpali Block,1,3026575,BIKASH CHANDRA NAIK,07-Aug-2025 10:17 AM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,14-Dec-2025,"INR 2,399,112",180.0,LAXMAN SAHOO,14-Dec-2025 10:02 AM,TSQChakramal.pdf (531.00 KB),Finance,Tender Status,LAXMAN SAHOO,23-Aug-2025 11:21 AM,finance_547572.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,14-Dec-2025 09:57 AM,finsummary_547572.pdf (488.47 KB),COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,14-Dec-2025 09:16 AM,techsummary_547572.pdf (488.47 KB),AOC,"6,000",0.0,Nil,Nil,No,"28,222",Yes,fixed,,Nil,Nil,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-03/2025-26,2025_STSCD_116140_21,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,29-Jul-2025 01:00 PM,13-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN Card, GSTIN, No relation certificate, Affidavit and other documents as per DTCN",Construction of twin staff quarters (2 Units Non Teaching) at Chakramal Sevashram under Tangarpali Block,Construction of twin staff quarters (2 Units Non Teaching) at Chakramal Sevashram under Tangarpali Block,AS PER DTCN ,NA ,"28,22,153",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, SUNDARGARH",No ,No,1.0,ICICI BANK,PROJECT ADMINISTRATOR,"ITDA, SUNDARGARH",AOC
,,,,,,,,,2,3032324,JAYANTA KUMAR PATTNAIK,11-Aug-2025 08:18 PM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,3,3026021,MARIYAM KISPOTTA,10-Aug-2025 08:00 PM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3032632,PRIYAM KUMAR NAIK,12-Aug-2025 08:27 AM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3025589,RABINDRA CHOUDHURY,06-Aug-2025 12:55 PM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3032812,RAJ KUMAR PATEL,12-Aug-2025 11:43 AM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3032656,RUPESH KUMAR NAIK,12-Aug-2025 09:03 AM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3033284,SOMANATH SAHU,12-Aug-2025 03:22 PM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3031352,SUBHAM GURU,11-Aug-2025 02:17 PM,Rejected-AOC,Disqualified,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3032565,SURJIT PATEL,12-Aug-2025 12:21 AM,Accepted-AOC,1st lowest in transparent lottery process,14-Dec-2025 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
