Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY06/2025-26,2025_CEMIB_118146_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction Of Dumuri Jhola Check Dam Over Local Nalla in Pottangi Block Of Koraput District under MATY Scheme.,Construction Of Dumuri Jhola Check Dam Over Local Nalla in Pottangi Block Of Koraput District under MATY Scheme.,Please refer tender documents ,NA ,"89,74,271",Civil Works - Water Works,NA ,Tender,90.0,180.0,Pottangi,764039.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"89,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN",17-Sep-2025 10:00 AM,04-Oct-2025 11:00 AM,17-Sep-2025 10:00 AM,03-Oct-2025 05:30 PM,NA ,NA ,17-Sep-2025 10:00 AM,03-Oct-2025 05:30 PM,28-Oct-2025 01:50 PM,AOC,08-Dec-2025,"INR 7,629,027.95",180.0,Nihar Ranjan Behera,08-Dec-2025 01:15 PM,Dumurijholaaoc.pdf (169.00 KB),Aoc,1,3104698,AMIT KUMAR SAHU,01-Oct-2025 10:37 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,Finance,On Opening the bids total 13nos of bids were found to be received online. Hence 13nos.of bids were found to be valid.,SUDIPTA KUMAR ROUT,29-Oct-2025 01:22 PM,finance_552856.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Nihar Ranjan Behera,28-Oct-2025 01:42 PM,28-Oct-2025 01:50 PM,techsummary_552856.pdf (1600.23 KB),Superintending Engineer,Internal,,Nihar Ranjan Behera,08-Dec-2025 01:10 PM,finsummary_552856.pdf (150.83 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_118146_3,MIDJEY06/2025-26,Construction Of Dumuri Jhola Check Dam Over Local Nalla in Pottangi Block Of Koraput District under MATY Scheme.,Technical,"On opening the bids total 14 nos. of bids were found to be received online, out of which 1 no of bid was rejected due to non submission of valid PAN, LICEANSE, GSTIN as per DTCN. Hence 13 nos. of bids were found to be valid.",Nihar Ranjan Behera,28-Oct-2025 01:38 PM,technical_552856.pdf,1.0,3104229.0,JINESH KUMAR ROUT,INR,"7,629,028",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC,,,,,,,,2,3106148,ASHOK KUMAR PRADHAN,02-Oct-2025 08:31 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3102065,BIKASH KUMAR PANDA,29-Sep-2025 09:01 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3106752,BISWA BHUSAN TRIPATHY,03-Oct-2025 12:19 PM,Not Admitted-Fee/PreQual/Technical,"Others- Rejected due to non submission of valid PAN, LICEANSE, GSTIN as per DTCN.",28-Oct-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3105558,CHITTA RANJAN SARKAR,02-Oct-2025 05:34 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3104229,JINESH KUMAR ROUT,01-Oct-2025 11:54 AM,Accepted-AOC,Accept,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3103725,Krushna Chandra Rudhi,30-Sep-2025 05:26 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3106749,RATI RANJAN SWAIN,03-Oct-2025 12:37 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3103095,SANGRAM KISHORE ROUT,29-Sep-2025 10:33 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3104025,SOUMYASHREE SAHU,30-Sep-2025 10:49 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3100756,SUNADHAR KHILLO,26-Sep-2025 08:22 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,3107430,Trinath Katabali,03-Oct-2025 03:49 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,13,3103800,Tulsimani Rudi,30-Sep-2025 06:24 PM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,14,3104070,ULLASH KUMAR SWAIN,01-Oct-2025 08:16 AM,Rejected-AOC,Reject,08-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
