EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"5,066",Yes,percentage,1.0%,Nil,Nil,01-Nov-2025 06:00 PM,12-Nov-2025 11:00 AM,01-Nov-2025 06:00 PM,11-Nov-2025 05:30 PM,01-Nov-2025 06:00 PM ,11-Nov-2025 05:30 PM ,01-Nov-2025 06:00 PM,11-Nov-2025 05:30 PM,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH42526,2025_CERWI_120617_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,Repair to Bridge over Malaguni Nallah on Narasinghpur to Natim road such as Fitting and fixing of crass barior for the year 2025-26,Repair to Bridge over Malaguni Nallah on Narasinghpur to Natim road such as Fitting and fixing of crass barior for the year 2025-26,NA ,NA ,"5,06,563",Civil Works - Bridges,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,AOC,24-Dec-2025,"INR 430,629",60.0,Chittaranjan Mishra,24-Dec-2025 06:58 PM,6663.pdf (543.00 KB),56P1 OF 2025-26,1,3213370,AKHILA KUMAR SUNDARA,11-Nov-2025 03:02 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,24-Dec-2025 06:51 PM,techsummary_561117.pdf (2828.85 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_120617_1,TENDERONLINEDNAYAGARH42526,Repair to Bridge over Malaguni Nallah on Narasinghpur to Natim road such as Fitting and fixing of crass barior for the year 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,24-Dec-2025 06:54 PM,finsummary_561117.pdf (2828.85 KB),Finance,Technical Evaluation Committee,Chittaranjan Mishra,24-Dec-2025 06:47 PM,finance_561117.pdf,BOQ Comparative Chart,1.0,3210176.0,SISIR KUMAR PRADHAN,INR,"430,629",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3207519,BHAGIRATHI BEHERA,10-Nov-2025 02:40 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3187107,BHAGIRATHI PRADHAN,07-Nov-2025 04:28 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3206585,BIPIN KUMAR NAYAK,10-Nov-2025 10:19 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3203323,DUSMANTA KUMAR HARICHANDAN,11-Nov-2025 08:21 AM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3213691,JAYANTA KUMAR GURU,11-Nov-2025 03:45 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3211588,PURNIMA PARIDA,11-Nov-2025 11:49 AM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3208457,SANTOSH KUMAR BEHERA,10-Nov-2025 04:56 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3188184,SIBA PRASAD PRADHAN,06-Nov-2025 12:22 PM,Rejected-AOC,L1,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3210176,SISIR KUMAR PRADHAN,10-Nov-2025 10:19 PM,Accepted-AOC,AOC,24-Dec-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
