S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3139751.0,SAHADEB SAHU,INR,"1,694,905",Finance,Bid opening,Avijit Barik,03-Nov-2025 05:26 PM,finance_555341.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,03-Nov-2025 05:32 PM,finsummary_555341.pdf (409.20 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119275_1,SERWSBD ONLINE 02-2025-26,"PWD Road to Balingi_Road_Pothole repair, SDBC_0/000 to 1/500",Superintending Engineer,Internal,,Avijit Barik,03-Nov-2025 05:29 PM,techsummary_555341.pdf (450.49 KB),19-Nov-2025,"INR 1,694,905",60.0,Avijit Barik,05-Dec-2025 05:32 PM,wobalingird.pdf (675.00 KB),1,3129715,Balaram Subuddhi,15-Oct-2025 05:33 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN","6,000",0.0,Nil,Nil,No,"PWD Road to Balingi_Road_Pothole repair, SDBC_0/000 to 1/500","PWD Road to Balingi_Road_Pothole repair, SDBC_0/000 to 1/500",NA ,NA ,"19,93,772",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA","20,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD ONLINE 02-2025-26,2025_CERWI_119275_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Oct-2025 05:00 PM,23-Oct-2025 11:00 AM,10-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,10-Oct-2025 05:00 PM ,20-Oct-2025 05:00 PM ,10-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3140208,BHASKAR BIDIKA,21-Oct-2025 04:35 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3143116,JANAKI KHARA,22-Oct-2025 03:41 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3135758,MOHAN BISOI,19-Oct-2025 01:35 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3140879,PADMA CHARAN BISOI,21-Oct-2025 07:42 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3140831,PINTU BISOI,21-Oct-2025 11:37 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3141468,PRANATI PUROHIT,22-Oct-2025 11:58 AM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3135926,PRASAD KHARA,19-Oct-2025 03:33 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3129684,RAJIB LOCHAN BISOYI,15-Oct-2025 07:08 PM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3141457,RAMACHANDRA BAGH,22-Oct-2025 12:04 AM,Rejected-AOC,Not qualified,05-Dec-2025 05:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
