Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
30-Dec-2025,"INR 6,085,933",180.0,Jagatjit Behera,30-Dec-2025 12:48 PM,48p1.pdf (232.00 KB),Agrt no 48p1 of 2025-26,1.0,2621323.0,SAHIL KUMAR RAY,INR,"6,085,933",EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,2024_EICCL_106052_11,SE / R and B / SBP II /06 (online)/2024-25,"Construction of Paddy Procurement Center at Mundenpali LAMPCS under Jamankira Block, in the district of Sambalpur for the year 2024-25 (Composite)",1,2638921,ABHILASH SAMAL,11-Nov-2024 02:08 PM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,Finance,11 nos Financial bid opened,Ashok Kumar Lenka,19-Feb-2025 06:20 PM,,BOQ Comparative Chart,A K Lenka SE,Internal,"R N Sahu AE, S K Jena AEE, A K Mishra DAO",Ashok Kumar Lenka,17-Feb-2025 08:20 PM,19-Feb-2025 11:30 AM,techsummary_512335.pdf (114.96 KB),Technical,12 nos technical bid opened and to be evaluated,Ashok Kumar Lenka,20-Nov-2024 05:35 PM,,Jagatjeet Behera SE,Internal,"S.k Jena AEE , A.k Mishra DAO",Jagatjit Behera,30-Dec-2025 12:36 PM,finsummary_512335.pdf (325.54 KB),AOC,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,SE / R and B / SBP II /06 (online)/2024-25,2024_EICCL_106052_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of Paddy Procurement Center at Mundenpali LAMPCS under Jamankira Block, in the district of Sambalpur for the year 2024-25 (Composite)",Building works,Please refer Tender documents. ,NA ,"71,59,079",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/O the S.E. R and B Division-II, Sambalpur",No ,No,1.0,ICICI BANK,"71,600",Yes,fixed,,Nil,Nil,28-Oct-2024 06:00 PM,12-Nov-2024 11:30 AM,28-Oct-2024 06:00 PM,11-Nov-2024 05:00 PM,28-Oct-2024 06:00 PM ,08-Nov-2024 05:00 PM ,28-Oct-2024 06:00 PM,11-Nov-2024 05:00 PM,19-Feb-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,"S.E. R and B Division-II, Sambalpur","O/O the S.E. R and B Division-II, Sambalpur",1.0,Fee/PreQual/Technical,.pdf,"Valid license, PAN, GST, Affidavit, No relation, Litigation, MOU etc as per dtcn",AOC
,,,,,,,,,,,,,,,,2,2633928,Arun Kumar Sukla,09-Nov-2024 02:12 PM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries documents as per DTCN,AOC
,,,,,,,,,,,,,,,,3,2619192,CHUDAMANI JAYAPURIA,09-Nov-2024 02:24 AM,Rejected-Technical,Due to less marks of machineries as per DTCN,17-Feb-2025 08:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC
,,,,,,,,,,,,,,,,4,2635943,Debadatta Meher,10-Nov-2024 03:53 PM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2617944,DEBASISH PADHAN,09-Nov-2024 03:30 AM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2635541,LIZA CHOUDHARY,11-Nov-2024 12:22 AM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2630327,NNN CONSTRUCTION,10-Nov-2024 01:22 AM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2636348,Pratik Kumar Agrawal,11-Nov-2024 01:18 PM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2621323,SAHIL KUMAR RAY,06-Nov-2024 01:35 AM,Accepted-AOC,Qualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2637120,SOUMYA RANJAN PANIGRAHI,10-Nov-2024 10:17 PM,Rejected-AOC,Disqualified in lottery,30-Dec-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
