Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Municipal Bodies||Kendrapara Municipality,2024_ORULB_105463_21,01/KM 2024-25,Construction of Paver road from Baladev High School to Canal road in ward No-06,1.0,2592850.0,KRUSHNA CHANDRA BEHERA,INR,"503,665.81",1,2592850,KRUSHNA CHANDRA BEHERA,24-Oct-2024 07:20 PM,Accepted-AOC,Krushna Chandra Behera is the lowest bidder,30-Dec-2025 09:17 PM,30-Dec-2025,"INR 503,665.81",30.0,Ajit Narayanprasad Giri,30-Dec-2025 09:17 PM,krushnaworkorder.pdf (689.00 KB),Krushna Chandra Behera is the lowest one bidder,Finance,ok,Suryakanta Nayak,09-Dec-2024 08:51 PM,finance_509688.pdf,BOQ Comparative Chart,Chairperson,Internal,"Je,Me,Eo,Cp",Ajit Narayanprasad Giri,30-Dec-2025 09:13 PM,finsummary_509688.pdf (496.98 KB),Chairperson,Internal,"JE,ME,EO,CP",Ajit Narayanprasad Giri,30-Dec-2025 09:10 PM,techsummary_509688.pdf (496.98 KB),AOC,"4,000",0.0,Nil,Nil,No,15-Oct-2024 04:00 PM,28-Oct-2024 11:00 AM,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,15-Oct-2024 04:00 PM ,26-Oct-2024 05:00 PM ,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,"5,039",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Kendrapara Municipality,01/KM 2024-25,2024_ORULB_105463_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,executive officer,KENDRAPARA MPL,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,documents as per dtcn,Construction of Paver road from Baladev High School to Canal road in ward No-06,Construction of Paver road from Baladev High School to Canal road in ward No-06,Please refer Tender documents. ,NA ,"5,03,917",Civil Works - Roads,NA ,Tender,120.0,60.0,kendrapara municipality,754211.0,NA ,NA ,NA ,kendrapara mpl,No ,No,AOC
,,,,,,,,,2,2592788,M/S Sudhir Kumar Behera,24-Oct-2024 07:15 PM,Rejected-Finance,Lowest One,30-Dec-2025 09:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,boq,,,,,,,,,,,,,,,,,,,AOC
