Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 19 of 2025-26,2025_EICCL_116306_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Er.Soumya Ranjan Dwibedi,O/o the S E R and B Division Puri,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT, ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTCN","10,000",0.0,Nil,Nil,No,Construction of Second floor Building of DIPRO at Puri for 2025-26,Construction of Second floor Building of DIPRO at Puri for 2025-26,Please refer Tender documents. ,NA ,"56,05,809",Civil Works - Buildings,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,O/o the S E R and B Division Puri,No ,No,01-Aug-2025 10:00 AM,12-Aug-2025 11:00 AM,01-Aug-2025 10:00 AM,11-Aug-2025 05:00 PM,NA ,NA ,01-Aug-2025 10:00 AM,11-Aug-2025 05:00 PM,09-Sep-2025 02:00 PM,"56,058",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC,04-Dec-2025,"INR 4,765,498",180.0,Soumya Ranjan Dwibedi,04-Dec-2025 04:20 PM,AOC.pdf (1595.00 KB),The bidder won the transparency lottery among the qualified bidder so that the work has been awarded to him.,1,3031747,CHINKU MALLICK,11-Aug-2025 04:45 PM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,Er. Soumya Ranjan Dwibedi,Internal,"Sri Abadhuta Prasad Das, Smt. Smita Pal",Smita Pal,09-Sep-2025 01:27 PM,09-Sep-2025 02:00 PM,techsummary_547949.pdf (719.27 KB),Finance,Total 9 Nos bidder are admitted,Soumya Ranjan Dwibedi,09-Sep-2025 06:43 PM,,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_116306_1,TCN No 19 of 2025-26,Construction of Second floor Building of DIPRO at Puri for 2025-26,Technical,Total 11 Nos bidders are participated in the online tender,Soumya Ranjan Dwibedi,12-Aug-2025 11:42 AM,,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,04-Dec-2025 01:22 PM,finsummary_547949.pdf (757.83 KB),1.0,3028256.0,Shankar Pujari,INR,"4,765,498",AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3027487,KAHNU SWAIN,07-Aug-2025 05:32 PM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3031377,PUJA SARKAR,11-Aug-2025 02:28 PM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3026239,RABINDRA KUMAR SUPAKAR,08-Aug-2025 05:22 PM,Rejected-Technical,The bidder has not fulfilled the minimum eligibility criteria i.e. not submitted the required information in Schedule-F stipulated in Clause No-11 of approved DTCN,09-Sep-2025 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3030558,RAJESH MOHANTY,11-Aug-2025 08:06 AM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3030600,ROHIT RANJAN NAYAK,11-Aug-2025 09:00 AM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3030801,SAMBIT KUMAR DAS,11-Aug-2025 04:16 PM,Rejected-Technical,The bidder has not fulfilled the minimum eligibility criteria i.e. not submitted the required information in Schedule-F stipulated in Clause No-11 of approved DTCN,09-Sep-2025 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3028256,Shankar Pujari,11-Aug-2025 04:08 PM,Accepted-AOC,The bidder won the transparency lottery among the qualified bidder so that the work has been awarded to him.,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3031456,SUBRAT KUMAR DASH,11-Aug-2025 02:41 PM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3031921,TRIPURA DEHURY,11-Aug-2025 04:51 PM,Rejected-AOC,Rejected,04-Dec-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
