Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
DY. Manager MM,Internal,"Mgr DO,Dy MGR CSS, IC MKTG, IC HR",Sudhir Ranjan Mallik,15-Dec-2025 04:03 PM,techsummary_527917.pdf (117.59 KB),1,2817876,M/s. Ferropack Industries,15-Feb-2025 05:51 PM,Accepted-AOC,L1,15-Dec-2025 04:38 PM,15-Dec-2025,"INR 2,851,000",365.0,Sudhir Ranjan Mallik,15-Dec-2025 04:38 PM,organized15.pdf (2122.00 KB),1.0,2817500.0,SIDDHARTH PLASTIC INDUSTIRES,INR,"1,422,500",Finance,FOR TECHNICAL EVALUATION,Jitendra Barada,15-Dec-2025 03:41 PM,,BOQ Comparative Chart,DY. Manager MM,Internal,"Mgr DO,Dy MGR CSS, IC MKTG, IC HR",Sudhir Ranjan Mallik,15-Dec-2025 04:13 PM,finsummary_527917.pdf (117.59 KB),Odisha State Co. Milk Producers Federation Ltd.,2025_OMFED_109980_2,MM/113/AT/ 2024-2025/07,PURCHASE OF Different Packing Materials,AOC,Odisha State Co. Milk Producers Federation Ltd.,MM/113/AT/ 2024-2025/07,2025_OMFED_109980_2,Yes,Open Tender,Item Rate,Goods,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,PURCHASE OF Different Packing Materials,PURCHASE OF Different Packing Materials,Please refer Tender documents. ,NA ,"3,00,00,000",Miscellaneous Goods,NA ,Tender,365.0,365.0,Different dairy of OMFED,751007.0,NA ,NA ,NA ,"D2, Sahid Nagar, Bhubaneswar",No ,No,31-Jan-2025 10:00 AM,17-Feb-2025 03:00 PM,31-Jan-2025 10:00 AM,17-Feb-2025 02:00 PM,NA ,NA ,31-Jan-2025 10:00 AM,17-Feb-2025 02:00 PM,Managing Director OMFED,"D2, Sahid Nagar, Bhubaneswar",1.0,Fee/PreQual/Technical/Finance,.pdf,"The tender paper cost / EMD and Photo Copy of GST, PAN, Registration Certificate, Turnover Certifica",590.0,0.0,Nil,Nil,No,"50,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,2,2822002,OMKAR GRAPHICS & OFFSET PRINTERS,17-Feb-2025 01:34 PM,Accepted-AOC,L1,15-Dec-2025 04:38 PM,,,,,,,2.0,2817876.0,M/s. Ferropack Industries,INR,"141,000",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other documents as per DTCN,,,,,,,,,,,,AOC
,,,,,,3,2818090,SARALA MJS PLASTIC PVT LTD,14-Feb-2025 04:07 PM,Rejected-Finance,L1,15-Dec-2025 04:13 PM,,,,,,,3.0,2822002.0,OMKAR GRAPHICS & OFFSET PRINTERS,INR,"1,287,500",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,AOC
,,,,,,4,2817500,SIDDHARTH PLASTIC INDUSTIRES,14-Feb-2025 02:04 PM,Accepted-AOC,L1,15-Dec-2025 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
