Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Forest Guard Quarter at Bhatlaida of Kolabira Forest Range during the year 2025-26,Construction of Forest Guard Quarter at Bhatlaida of Kolabira Forest Range under Jharsuguda Forest during the year 2025-26,Please refer Tender documents. ,NA ,"13,35,492",Civil Works - Buildings,NA ,Tender,90.0,120.0,Bhatlaida of Kolabira Block,768213.0,NA ,NA ,NA ,"Office of the DFO Jharsuguda at BTM, Jharsuguda",No ,No,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Jharsuguda,DFO/JSG-07 OF 2025-26,2025_DFOJH_120696_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,03-Nov-2025 03:00 PM,17-Nov-2025 11:00 AM,03-Nov-2025 03:00 PM,15-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 03:00 PM,15-Nov-2025 05:00 PM,20-Nov-2025 05:40 PM,1.0,Fee/PreQual/Technical,.pdf,Detailed Tender Call Notice,Divisional Forest Officer,"Divisional Forest Office, At BTM, Ekatali, Jharsuguda","13,354",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",Nil,Nil,Yes,AOC,1,3226316,BHESAJA KUMAR PATTA,15-Nov-2025 02:58 PM,Rejected-AOC,Loser in lottery,30-Dec-2025 03:06 PM,22-Dec-2025,"INR 1,135,301",90.0,Manu Ashok Bhat,30-Dec-2025 03:06 PM,aoc2a.pdf (2340.00 KB),Work order for the work- Construction of Forest Guard Quarter at Bhatlaida of Kolabira Forest Range during the year 2025-26,Finance,BHESAJA KUMAR PATTA and GURUDEV NAIK Selected for Lottery,Manu Ashok Bhat,27-Nov-2025 01:15 PM,finance_561450.pdf,BOQ Comparative Chart,ACF JHARSUGUDA FOREST DIVISION,Internal,KULAMANI PRADHN UDAYANTA SAHU BIRENDRA KUMAR PATEL ALOK KUMAR NAIK SURESH KUMAR TAREI,Manu Ashok Bhat,20-Nov-2025 05:35 PM,20-Nov-2025 05:40 PM,techsummary_561450.pdf (4162.88 KB),ACF JHARSUGUDA FOREST DIVISION,Internal,"Sri Kulamani Pradhan, Sri Udayanta Sahu, Sri Alok Kumar Naik, Sri Birendra Kumar Patel, Sri Suresh Kumar Tarei",Manu Ashok Bhat,09-Dec-2025 05:17 PM,finsummary_561450.pdf (1328.14 KB),Technical,All bidders are accepted.,Manu Ashok Bhat,20-Nov-2025 05:07 PM,,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Jharsuguda,2025_DFOJH_120696_2,DFO/JSG-07 OF 2025-26,Construction of Forest Guard Quarter at Bhatlaida of Kolabira Forest Range during the year 2025-26,1.0,3227988.0,GURUDEV NAIK,INR,"1,135,301",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Notice Inviting Tender,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC,2,3225968,BHIMSEN BHANJA,14-Nov-2025 09:15 PM,Rejected-Technical,due to non submission of IT Returns,20-Nov-2025 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender paper cost,,,,,,,,,,,,,,,AOC,3,3227988,GURUDEV NAIK,15-Nov-2025 04:43 PM,Accepted-AOC,Winner in lottery,30-Dec-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"RC Book , Affidavit, EMD, GSTIN, PAN, Experience Certificate as contractor,",,,,,,,,,,,,,,,AOC,4,3226309,KALPIT KUMAR RAWAL,15-Nov-2025 03:31 PM,Rejected-Finance,due to higher bid amount,09-Dec-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Check List,,,,,,,,,,,,,,,AOC,5,3224803,NITYANANDA BANJARA,14-Nov-2025 03:21 PM,Rejected-Technical,due to non submission of IT Returns,20-Nov-2025 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,6,3227786,YASH RAWAL,15-Nov-2025 03:54 PM,Rejected-Finance,due to higher bid amount,09-Dec-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
