S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2980043.0,PRATIMA CONSTRUCTION PROP. SANJAY MOHANTY,INR,"16,485,949",cce,Internal,pa,Nibesh Chandra Majhi,02-Dec-2025 06:24 PM,finsummary_542843.pdf (198.23 KB),Technical,open,Rama Chandra Sethi,26-Jun-2025 03:28 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA,2025_EICCL_114380_3,03 of 2025-26,Construction of 4 Nos E-Type Twin Type PWD Staff Quarter at Khordha for the year 2024-25,Finance,open,Rama Chandra Sethi,22-Aug-2025 04:37 PM,,BOQ Comparative Chart,cce,Internal,"pa,dao,se",Rama Chandra Sethi,02-Aug-2025 02:18 PM,06-Aug-2025 12:00 PM,techsummary_542843.pdf (3674.69 KB),02-Dec-2025,"INR 16,485,949",270.0,Sundara Madhaba Padhi,02-Dec-2025 07:09 PM,pwdstaff.pdf (845.00 KB),1,2977192,AADYA URJA SOLUTIONS PRIVATE LIMITED,24-Jun-2025 01:12 PM,Rejected-Technical,Disqualified,02-Aug-2025 02:18 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy Tender cost, EMD , GSTIN, PAN, Contractor RC and Affidavit",CCE Khordha RandB Circle Khordha,O/o the Chief Construction Engineer Khordha R and B Circle Khordha,Construction of 4 Nos E-Type Twin Type PWD Staff Quarter at Khordha for the year 2024-25,Construction of 4 Nos E-Type Twin Type PWD Staff Quarter at Khordha for the year 2024-25,Please refer Tender documents. ,NA ,"1,93,92,952",Civil Works - Buildings,NA ,Tender,90.0,270.0,Khordha,752055.0,NA ,NA ,NA ,O/O CCE Khordha RandB Circle Khordha,No ,No,11-Jun-2025 01:40 PM,26-Jun-2025 11:30 AM,11-Jun-2025 01:40 PM,25-Jun-2025 05:00 PM,NA ,NA ,11-Jun-2025 01:40 PM,25-Jun-2025 05:00 PM,06-Aug-2025 12:00 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KHURDA,03 of 2025-26,2025_EICCL_114380_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,94,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2976883,ACE COMMERCIAL COMPANY PRIVATE LIMITED,25-Jun-2025 01:17 PM,Rejected-Finance,Other than Lottery bidder,02-Dec-2025 06:24 PM,AOC,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2979080,Amit Enterprise,25-Jun-2025 01:18 PM,Rejected-Technical,Disqualified,02-Aug-2025 02:18 PM,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2979823,ASHUTOSH CHANDRA MOHANTY,25-Jun-2025 01:45 PM,Rejected-Technical,Disqualified,02-Aug-2025 02:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2980100,ASISHA KUMAR SAMAL,25-Jun-2025 04:36 PM,Rejected-Technical,Disqualified,02-Aug-2025 02:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2978817,BISWARANJAN MALLICK,24-Jun-2025 08:56 AM,Rejected-Finance,Other than Lottery bidder,02-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2971901,CHITARANJAN MOHANTY,24-Jun-2025 03:39 PM,Rejected-Finance,Other than Lottery bidder,02-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2976068,DISHAISHA UDYOG PRIVATE LIMITED,25-Jun-2025 01:48 PM,Rejected-Technical,Disqualified,02-Aug-2025 02:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2979543,JAGADEV ROUTRAY,24-Jun-2025 11:06 PM,Rejected-Finance,Other than Lottery bidder,02-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2979357,LAXMAN KUMAR PANIGRAHY,24-Jun-2025 06:40 PM,Rejected-Finance,Other than Lottery bidder,02-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
