S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"10,000",Nil,Nil,No,Construction of upgraded Secondary School at Abhimanyupur in Parjang Blck of Dhenkanal District,Construction of upgraded Secondary School at Abhimanyupur in Parjang Blck of Dhenkanal District,Please refer Tender documents. ,NA ,"1,35,37,545",Civil Works - Buildings,NA ,Tender,90.0,270.0,Dhenkanal,759001.0,NA ,NA ,NA ,"DPC, SS, Dhenkanal",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper, EMD in online, RC, PAN, GSTIN, Joint Venture","1,35,400",Yes,fixed,,Nil,Nil,02-Sep-2025 10:00 AM,17-Sep-2025 11:00 AM,02-Sep-2025 10:00 AM,16-Sep-2025 05:30 PM,NA ,NA ,02-Sep-2025 10:00 AM,16-Sep-2025 05:30 PM,18-Oct-2025 11:00 AM,"DPC, SS, Dhenkanal","DPC, SS, Dhenkanal",OPEPA Bhubaneswar||Samagra Shiksha Dhenkanal,SS/DKL/01/2025-26,2025_OPEPA_117437_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,3083794,AMIT KUMAR MAHAPATRA,16-Sep-2025 03:13 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,04-Dec-2025,"INR 13,537,545.27",270.0,Binita Senapati,04-Dec-2025 09:02 PM,AOC.pdf (176.00 KB),Awarded,DPC SS Dhenkanal,Internal,"DAO SE AEE FC SR.TC , TC Dhenkanal",Binita Senapati,15-Oct-2025 04:20 PM,18-Oct-2025 11:00 AM,techsummary_550627.pdf (954.82 KB),Finance,Opened,Binita Senapati,18-Oct-2025 11:55 AM,,BOQ Comparative Chart,Technical,19 nos. of bidders found and documents downloaded successfully,Binita Senapati,17-Sep-2025 12:15 PM,,OPEPA Bhubaneswar||Samagra Shiksha Dhenkanal,2025_OPEPA_117437_1,SS/DKL/01/2025-26,Construction of upgraded Secondary School at Abhimanyupur in Parjang Blck of Dhenkanal District,DPC,Internal,"FC, SRTC, AEE",Binita Senapati,04-Dec-2025 08:55 PM,finsummary_550627.pdf (176.28 KB),1.0,3083815.0,Sai Swetapadma Singh,INR,"11,508,267.23",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Authentication and others as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3082104,ANAND ENGINEERING,15-Sep-2025 05:51 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3079582,Anshuman Swain,14-Sep-2025 05:07 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3078331,BRAHMANANDA SAHOO,13-Sep-2025 11:33 AM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3080152,DEBAKANTA MALLICK,15-Sep-2025 08:53 PM,Rejected-Finance,Rate is in higher side,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3083455,DIGDARSAN BEHERA,16-Sep-2025 01:18 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3081596,DINESH KUMAR PANY,15-Sep-2025 05:33 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3083009,DINESH RANJAN SAHOO,16-Sep-2025 05:13 PM,Rejected-Technical,Not fumished Schedule-H,15-Oct-2025 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3078404,JYOTISANKARA SAHOO,13-Sep-2025 01:21 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3083401,Manoranjan Mohanty,16-Sep-2025 01:37 PM,Rejected-Finance,Not awarded in Lottery,04-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
