Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Name,Address,Tender Stage
11-Dec-2025,"INR 868,544.93",90.0,Sudarsan Behera,11-Dec-2025 11:02 AM,12.pdf (332.00 KB),it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner.,1.0,3022222.0,M/S SANJIB KUMAR MALLA,INR,"738,350.05",ST and SC Development Deptt||ITDA Baliguda,2025_STSCD_115746_12,PA (ITDA)-BLG-3/25-26,Construction of Culvert from Dandarasahi to Nilipada under Balliguda Block,1,3023799,ABANI KUMAR LENKA,04-Aug-2025 08:09 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,Technical,Total Twenty Five Bidders,Sudarsan Behera,25-Aug-2025 04:23 PM,technical_546534.pdf,PA ITDA BALLIGUDA,Internal,AEE ITDA BALLIGUDA,Sudarsan Behera,10-Dec-2025 01:29 PM,finsummary_546534.pdf (44.84 KB),Finance,Total Twenty Five Bidders,Sudarsan Behera,28-Nov-2025 04:36 PM,finance_546534.pdf,BOQ Comparative Chart,PA ITDA BALLIGUDA,Internal,AEE ITDA BALLIGUDA,Sudarsan Behera,27-Aug-2025 07:34 PM,28-Aug-2025 09:00 AM,techsummary_546534.pdf (44.84 KB),AOC,19-Jul-2025 05:00 PM,06-Aug-2025 11:00 AM,19-Jul-2025 05:00 PM,05-Aug-2025 05:00 PM,NA ,NA ,19-Jul-2025 05:00 PM,05-Aug-2025 05:00 PM,28-Aug-2025 09:00 AM,ST and SC Development Deptt||ITDA Baliguda,PA (ITDA)-BLG-3/25-26,2025_STSCD_115746_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,"4,000",0.0,Nil,Nil,No,1.0,Corrigundum,Date,,Construction of Culvert from Dandarasahi to Nilipada under Balliguda Block,Construction of Culvert from Dandarasahi to Nilipada under Balliguda Block,Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,90.0,NA ,Dandarasahi to Nilipada under Balliguda Block,762103.0,NA ,NA ,NA ,ITDA BALLIGUDA,No ,No,"8,685",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,PA ITDA BALLIGUDA,PA ITDA BALLIGUDA,AOC
,,,,,,,,,,,,,,,,2,3017827,AKASH KUMAR NAYAK,02-Aug-2025 11:16 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,3,3020766,ANITA DORA,04-Aug-2025 07:50 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3020015,DANDAPANI BEHERA,01-Aug-2025 10:59 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3024433,DIBAKAR BEHERA,05-Aug-2025 02:29 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3017761,JADAB PRADHAN,01-Aug-2025 06:17 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3022079,JAYANTI SAHU,03-Aug-2025 10:43 AM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3024167,Karanda Bisoyi,05-Aug-2025 02:51 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3022319,KRUTIBAS MOHANTY,04-Aug-2025 09:23 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3023502,"MAMALY ASSOCIATES, PROP SANTOSINI BISWAL",04-Aug-2025 05:41 PM,Rejected-Finance,it was put into lottery in presence of the bidders where Sri Sanjib Kumar Malla came as the winner,10-Dec-2025 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
