S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
1.0,3129967.0,ASHOK KUMAR SAHU,INR,"254,122",Finance,Bid opening,Avijit Barik,30-Dec-2025 02:26 PM,finance_555221.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,30-Dec-2025 04:24 PM,finsummary_555221.pdf (402.15 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119192_1,SERWSBD Online 04 2025 26,S/R to RW Staff Qtr building (2R 37/2) at Sunabeda,Superintending Engineer,Internal,,Avijit Barik,30-Dec-2025 04:18 PM,techsummary_555221.pdf (477.25 KB),1,3129967,ASHOK KUMAR SAHU,18-Oct-2025 12:00 PM,Accepted-AOC,Qualified,30-Dec-2025 04:28 PM,30-Dec-2025,"INR 254,122",60.0,Avijit Barik,30-Dec-2025 04:28 PM,WO2R372.pdf (698.00 KB),AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 04 2025 26,2025_CERWI_119192_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",S/R to RW Staff Qtr building (2R 37/2) at Sunabeda,S/R to RW Staff Qtr building (2R 37/2) at Sunabeda,NA ,NA ,"2,98,931",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"3,000",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,10-Oct-2025 11:00 AM,20-Oct-2025 03:00 PM,10-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,10-Oct-2025 11:00 AM ,18-Oct-2025 05:00 PM ,10-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3133577,ASWINI PANIGRAHY,19-Oct-2025 12:08 PM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3131965,BABULI KUMAR SIYA,17-Oct-2025 11:26 AM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3133310,BHAGIRATHI PANIGRAHY,19-Oct-2025 10:59 AM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3135721,BISHNU PRIYA MOHARAN,20-Oct-2025 07:47 AM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3132961,KAILASH CHANDRA CHOUDHURY,17-Oct-2025 11:54 PM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3128367,MINAKSHI TRIPATHY,14-Oct-2025 08:25 PM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3129973,M/S BANABASI ROUT,15-Oct-2025 07:06 PM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3134790,NABIN MUDULI,18-Oct-2025 04:00 PM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3130404,PRAMOD KISHORE KHORA,15-Oct-2025 11:56 PM,Rejected-AOC,Not qualified,30-Dec-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
