Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"4,000",0.0,Nil,Nil,No,Superintending Engineer,"superintending engineer, M.I. Division, Jeypore",1.0,ICICI BANK,16-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,16-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,NA ,NA ,16-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY04/2025-26,2025_CEMIB_116941_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to Bodigaon MIP in Borigumma Block of Koraput District under DPIW Scheme 2025-26,Improvement to Bodigaon MIP in Borigumma Block of Koraput District under DPIW Scheme 2025-26,Please refer Tender documents. ,NA ,"8,47,418",Civil Works - Water Works,NA ,Tender,90.0,60.0,Borigumma,764056.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, LICENSE, AFFIDAVIT and as per DTCN","8,500",Yes,fixed,,Nil,Nil,AOC,Superintending Engineer,Internal,,Nihar Ranjan Behera,04-Dec-2025 12:13 PM,finsummary_549380.pdf (152.76 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_116941_2,MIDJEY04/2025-26,Improvement to Bodigaon MIP in Borigumma Block of Koraput District under DPIW Scheme 2025-26,1.0,3050660.0,ANITA MAHAKHUDA,INR,"720,390",Finance,On opening the bids total 13 nos. of bids were found to be received online. Hence 13 nos. of bids were found to be valid.,Nihar Ranjan Behera,04-Dec-2025 12:03 PM,finance_549380.pdf,BOQ Comparative Chart,1,3048857,ANANDA MAHAPATRA,25-Aug-2025 07:48 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,04-Dec-2025,"INR 720,390",60.0,Nihar Ranjan Behera,04-Dec-2025 12:19 PM,Bodigaonaoc.pdf (175.00 KB),AOC,Superintending Engineer,Internal,,Nihar Ranjan Behera,04-Dec-2025 12:08 PM,techsummary_549380.pdf (152.76 KB),AOC
,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3050660,ANITA MAHAKHUDA,27-Aug-2025 07:19 AM,Accepted-AOC,Accept,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3045467,BASANTA KUMAR TRIPATHY,23-Aug-2025 01:49 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3054047,BHUBANESWAR KHATI,29-Aug-2025 12:19 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3051491,GUPTA BISOI,27-Aug-2025 06:46 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3048781,JITENDRA KUMAR DAS,25-Aug-2025 07:15 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3047960,LACHHMAN BALAJI TRIPATHI,26-Aug-2025 04:45 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3050431,RANJEET KUMAR MAHAPATRO,28-Aug-2025 06:24 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3053303,SANTOSH KUMAR PRADHAN,28-Aug-2025 08:14 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3045945,SHASHI BHUSAN PRAHARAJ,25-Aug-2025 07:02 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3052204,SRIKANTA ACHARYA,28-Aug-2025 07:23 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3047516,SUNIL KUMAR MAHAKUD,27-Aug-2025 07:08 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,13,3043378,TILOTTAMA BEHERA,21-Aug-2025 12:27 PM,Rejected-AOC,Reject,04-Dec-2025 12:20 PM,,,,,,,,,,,,,,AOC
