Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"SE RW Division, Balasore","O/o the SE RW Division, Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_97,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,933",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Repair to HL Bridge over Balia nallah on Khantapada Rly Station to Kuligaon Road,Repair to HL Bridge over Balia nallah on Khantapada Rly Station to Kuligaon Road,Please refer tender documents ,NA ,"19,93,278",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,11-Dec-2025 11:51 AM,finsummary_557765.pdf (593.25 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,11-Dec-2025 11:48 AM,techsummary_557765.pdf (593.25 KB),1,3166520,BHIKARI DALAEI,30-Oct-2025 06:39 PM,Accepted-AOC,Qualified,11-Dec-2025 11:54 AM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_97,04 SERW BLS 2025-26,Repair to HL Bridge over Balia nallah on Khantapada Rly Station to Kuligaon Road,1.0,3166520.0,BHIKARI DALAEI,INR,"1,694,486",11-Dec-2025,"INR 1,694,486",60.0,Soubhagya Kumar Das,11-Dec-2025 11:54 AM,97Sl.pdf (593.00 KB),Finance,Document downloaded,Priyadarshini Behera,08-Nov-2025 04:53 PM,finance_557765.pdf,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3176924,Daitari Rout,03-Nov-2025 12:37 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3174688,MAA JAGADHATRI LCCS LTD,02-Nov-2025 04:32 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3176363,MADAN BEHERA,03-Nov-2025 12:24 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3174813,MANAS RANJAN BARIK,02-Nov-2025 07:44 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3165068,MAUSUMI BEHERA,31-Oct-2025 02:59 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3166479,"M/S Jagannath Construction, Prop-Prasanta Nayak",02-Nov-2025 01:10 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3168713,NIRANJAN MAIKAP,30-Oct-2025 08:49 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3169749,PANKAJ KUMAR PATRA,31-Oct-2025 01:37 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3176146,PRADEEPTI CHAND,03-Nov-2025 09:46 AM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,11,3160837,SANTOSH KUMAR MOHARANA,29-Oct-2025 06:28 PM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,12,3169013,SWAGATIKA MOHAPATRA,31-Oct-2025 10:20 AM,Rejected-AOC,Not Qualified,11-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,,,,AOC
