EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"12,700",Yes,fixed,,Nil,Nil,S/R Dhobadi to Sahapur via Hontosh for the year 2025-26,S/R Dhobadi to Sahapur via Hontosh for the year 2025-26,Please refer Tender documents. ,NA ,"12,61,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,1.0,Corrigendum,Other,,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/11/SERWD-II/2025-26,2025_CERWI_120323_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,30-Oct-2025 01:00 PM,08-Nov-2025 11:00 AM,30-Oct-2025 01:00 PM,07-Nov-2025 05:00 PM,30-Oct-2025 01:00 PM ,06-Nov-2025 05:00 PM ,30-Oct-2025 01:00 PM,07-Nov-2025 05:00 PM,AOC,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,22-Dec-2025 05:55 PM,finsummary_559971.pdf (2592.01 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,22-Dec-2025 05:50 PM,techsummary_559971.pdf (927.00 KB),22-Dec-2025,"INR 1,071,499",30.0,Sudipta Senapati,22-Dec-2025 06:00 PM,3DhobadiSahaspurWO.pdf (879.00 KB),Work Order,1,3189523,ANIL KUMAR MAHANKUDA,07-Nov-2025 01:54 AM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,1.0,3191478.0,PRASANNA KUMAR PADHI,INR,"1,071,499",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120323_12,Online Tender/11/SERWD-II/2025-26,S/R Dhobadi to Sahapur via Hontosh for the year 2025-26,Finance,Tender will be finalized after downloaded Bid documents scrutinized.,Babina Sahu,17-Nov-2025 01:03 PM,finance_559971.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantity,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3184678,ANIL KUMAR SAHU,07-Nov-2025 01:28 AM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3190254,ASHOK BEHERA,06-Nov-2025 05:39 PM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3185880,BAIJAYANTI SWAIN,06-Nov-2025 10:38 AM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3177727,BAPINI SETHY,03-Nov-2025 02:44 PM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3188987,DEBASIS KUMAR SAHU,07-Nov-2025 03:33 PM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3188111,DUKHISHYAM SAHU,07-Nov-2025 01:18 PM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3173736,G.Mohan Dora,02-Nov-2025 11:07 AM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3184159,JAGANNATH SAHU,05-Nov-2025 02:37 PM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3190232,MUNA SETHI,06-Nov-2025 05:05 PM,Rejected-AOC,Unsuccessful Bidder,22-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,AOC
