S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3109678.0,SAGAR SAHU,INR,"356,880",Finance,ok,Bidyut Prabha Padhy,09-Dec-2025 08:52 PM,finance_553438.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,09-Dec-2025 09:01 PM,finsummary_553438.pdf (2191.31 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,2025_CERWI_118400_1,03/MOHANA/2025-26,Repair to 5 Nos. F Type Quarter Building for Tahasil Office at Nuagada for the year 2025-26,Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,09-Dec-2025 08:56 PM,techsummary_553438.pdf (2191.32 KB),09-Dec-2025,"INR 356,880",30.0,Bidyut Prabha Padhy,09-Dec-2025 09:06 PM,2025_CERWI_118400_1.pdf (2191.00 KB),Successful Bidder,1,3111087,BINNALA VIJAYA BABU,05-Oct-2025 07:58 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,"4,200",Yes,fixed,,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION, MOHANA",Repair to 5 Nos. F Type Quarter Building for Tahasil Office at Nuagada for the year 2025-26,Repair to 5 Nos. F Type Quarter Building for Tahasil Office at Nuagada for the year 2025-26,NA ,NA ,"4,19,809",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mohana,761015.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MOHANA",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,03/MOHANA/2025-26,2025_CERWI_118400_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit,GSTIN,PAN,RC,other papers as per DTCN,BOQ",25-Sep-2025 11:00 AM,08-Oct-2025 11:00 AM,25-Sep-2025 11:00 AM,06-Oct-2025 05:00 PM,25-Sep-2025 11:00 AM ,03-Oct-2025 05:00 PM ,25-Sep-2025 11:00 AM,06-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3110722,DUKHI NAIK,05-Oct-2025 01:51 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3111724,DURGA PRASAD SAHU,06-Oct-2025 01:55 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3111350,HARI KRUSHNA PRADHAN,05-Oct-2025 09:01 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3110473,HEMANTA KUMAR RANA,05-Oct-2025 11:46 AM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3108283,HUTTASAN APPATO,04-Oct-2025 11:01 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3110176,Jeetendra Kumar Pradhan,05-Oct-2025 12:10 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3106807,KHAGESWARA PRADHAN,04-Oct-2025 03:06 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3110476,Krushna Chandra Gouda,05-Oct-2025 10:52 AM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3111622,NARASINGHO APPATTO,05-Oct-2025 11:56 PM,Rejected-AOC,All documents submitted.,09-Dec-2025 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
