S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3144368.0,SAHIL KHAN,INR,"2,286,865",Finance,summary,Rasmita Biswal,10-Nov-2025 08:35 AM,finance_557037.pdf,BOQ Comparative Chart,SE,Internal,EE AND DAO,Monalisa Mahunta,11-Dec-2025 10:52 AM,finsummary_557037.pdf (348.01 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,2025_CERWI_119760_1,11 of 25-26,"P.W.D.Road to Jamudihi_Road_WMM with SDBC (0/00 to 0/090 km) BUSG with SDBC (0/360 to 0/880 km and 1/480 to 2/550 km) earth work at berm R.C.C drain of 200m length_0/000 to 0/090, 0/360 to 0/880, 1/480 to 2/550",SE,Internal,EE AND DAO,Monalisa Mahunta,10-Dec-2025 05:20 PM,techsummary_557037.pdf (348.01 KB),11-Dec-2025,"INR 2,286,865",60.0,Monalisa Mahunta,11-Dec-2025 10:57 AM,aocjamudihi.pdf (419.00 KB),AGREEMENT DRAWN.,1,3168729,Akshaya Kumar Matagajasingh,01-Nov-2025 07:40 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,"26,890",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION NO.II, CUTTACK",1.0,Fee/PreQual/Technical/Finance,.pdf,Valid registration certificate GST PAN SCHEDULE A E F AND OTHER DOCUMENTS AS PER DTCN,20-Oct-2025 11:00 AM,04-Nov-2025 11:30 AM,20-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,20-Oct-2025 11:00 AM ,03-Nov-2025 02:00 PM ,20-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"P.W.D.Road to Jamudihi_Road_WMM with SDBC (0/00 to 0/090 km) BUSG with SDBC (0/360 to 0/880 km and 1/480 to 2/550 km) earth work at berm R.C.C drain of 200m length_0/000 to 0/090, 0/360 to 0/880, 1/480 to 2/550","P.W.D.Road to Jamudihi_Road_WMM with SDBC (0/00 to 0/090 km) BUSG with SDBC (0/360 to 0/880 km and 1/480 to 2/550 km) earth work at berm R.C.C drain of 200m length_0/000 to 0/090, 0/360 to 0/880, 1/480 to 2/550",NA ,NA ,"26,90,113",Miscellaneous Works,NA ,Tender,90.0,60.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, CUTTACK",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,11 of 25-26,2025_CERWI_119760_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3173998,AMARENDRA BISWAL,02-Nov-2025 12:28 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,.xls,Boq,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3165615,ANIL KUMAR PRUSTY,29-Oct-2025 12:41 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3168807,ASWINI KUMAR MATAGAJSINGH,30-Oct-2025 08:43 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3175357,BASANTA KUMAR BEURA,02-Nov-2025 08:15 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3156237,DEBI PRASAD PARIDA,26-Oct-2025 09:28 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3174312,MALAYA KUMAR PRADHAN,02-Nov-2025 02:09 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3150269,M/S. RAJ RIYANSH CONSTRUCTIONS,25-Oct-2025 08:30 AM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3176959,PAPU DALEI,03-Nov-2025 12:40 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3172760,PRAMILA DEBATA,02-Nov-2025 01:46 PM,Rejected-AOC,"AFTER DRAWL OF LOTTERY, THE BIDDER IS DIS-QUALIFIED AS PER CODAL RULE OF LOTTERY SYSTEM",11-Dec-2025 10:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
