Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
CCE Khordha RandB Circle Khordha,O/o the Chief Construction Engineer Khordha R and B Circle Khordha,"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA,28 of 2024-25,2025_EICCL_112087_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy Tender cost, EMD , GSTIN, PAN, Contractor RC and Affidavit","1,17,000",Yes,fixed,,Nil,Nil,29-Mar-2025 12:00 PM,11-Apr-2025 11:30 AM,29-Mar-2025 12:00 PM,10-Apr-2025 05:00 PM,NA ,NA ,29-Mar-2025 12:00 PM,10-Apr-2025 05:00 PM,23-Jun-2025 04:30 PM,"Construction of 6 Nos F Type staff quarters at CT and GST Circle ,Jatni for the year 2024-25 . Twin Qtrs G plus2.","Construction of 6 Nos F Type staff quarters at CT and GST Circle ,Jatni for the year 2024-25 . Twin Qtrs G plus2.",Please refer Tender documents. ,NA ,"1,16,94,752",Civil Works - Buildings,NA ,Tender,90.0,180.0,Khordha,752055.0,NA ,NA ,NA ,O/O CCE Khordha RandB Circle Khordha,No ,No,1.0,ICICI BANK,AOC,Technical,open,Rama Chandra Sethi,11-Apr-2025 05:22 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA,2025_EICCL_112087_4,28 of 2024-25,"Construction of 6 Nos F Type staff quarters at CT and GST Circle ,Jatni for the year 2024-25 . Twin Qtrs G plus2.",cce,Internal,pa,Nibesh Chandra Majhi,02-Dec-2025 06:53 PM,finsummary_534867.pdf (206.70 KB),1.0,2880384.0,SAMARESH CHHOTARAY,INR,"9,941,709",02-Dec-2025,"INR 9,941,709",180.0,Sundara Madhaba Padhi,02-Dec-2025 06:59 PM,ctgst.pdf (768.00 KB),1,2880449,AJIT KUMAR RANJIT,10-Apr-2025 11:11 AM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,cce,Internal,"pa,se,dao",Rama Chandra Sethi,20-Jun-2025 03:32 PM,23-Jun-2025 04:30 PM,techsummary_534867.pdf (3698.71 KB),Finance,open,Rama Chandra Sethi,24-Jun-2025 11:33 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2880413,ARUN KUMAR BEHERA,10-Apr-2025 11:36 AM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2881006,Bijaya Ketan Pal,10-Apr-2025 04:50 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2873845,CHITARANJAN MOHANTY,03-Apr-2025 04:32 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2880250,Debabra Patra,10-Apr-2025 12:37 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2880174,DIBAKAR MARTHA,09-Apr-2025 08:58 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2880860,FLAMEGUARD FIRE SAFETY PRIVATE LIMITED,10-Apr-2025 03:15 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2880825,M/S OM SAI CONSTRUCTION,10-Apr-2025 03:58 PM,Rejected-Technical,Disqualified,20-Jun-2025 03:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2879970,MUKTIKANTA BEHERA (S.C),09-Apr-2025 05:14 PM,Rejected-Technical,Disqualified,20-Jun-2025 03:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2880993,NIBEDITA MOHAPATRA,10-Apr-2025 04:41 PM,Rejected-Technical,Disqualified,20-Jun-2025 03:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2880120,NIRANJAN JENA,09-Apr-2025 07:49 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2880882,NITIN NAYAK,10-Apr-2025 03:34 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2879171,PRADEEP KUMAR ROUTARAY,09-Apr-2025 09:06 PM,Rejected-Finance,Other than lottery bidder,02-Dec-2025 06:53 PM,,,,,,,,,,,,,,AOC
