S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2983512.0,M/s Sri Durga Condev Private Limited,INR,"185,925,507.87",CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,17-Dec-2025 07:14 PM,finsummary_543293.pdf (2006.83 KB),EIC-CIVIL,2025_EICCL_114508_2,CE-ROADS-II-04/2025-26,Improvement of Bandalo- Endarpada road from 0/000 km to 5/240 km in the district of Jajpur under State Plan,Technical,Opening,Pradipta Kumar Nayak,04-Jul-2025 01:31 PM,,Finance,Finance opening,Bijaya Laxmi Panda,14-Aug-2025 01:13 PM,,BOQ Comparative Chart,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,08-Aug-2025 08:48 PM,14-Aug-2025 11:30 AM,techsummary_543293.pdf (307.67 KB),17-Dec-2025,"INR 185,925,508",210.0,Pradipta Kumar Nayak,17-Dec-2025 07:19 PM,BandaloEnderpada.pdf (2007.00 KB),306P1 of 2025-26,1,2987926,ACP CONSTRUCTION,03-Jul-2025 04:40 PM,Rejected-AOC,L1 bidder,17-Dec-2025 07:20 PM,AOC,EIC-CIVIL,CE-ROADS-II-04/2025-26,2025_EICCL_114508_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",Improvement of Bandalo- Endarpada road from 0/000 km to 5/240 km in the district of Jajpur under State Plan,Improvement of Bandalo- Endarpada road from 0/000 km to 5/240 km in the district of Jajpur under State Plan,Please refer Tender documents. ,NA ,"21,87,10,161",Civil Works - Roads,NA ,Tender,90.0,210.0,Charbatia Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"21,87,000",Yes,fixed,,Nil,Nil,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",17-Jun-2025 04:00 PM,04-Jul-2025 11:30 AM,17-Jun-2025 04:00 PM,03-Jul-2025 05:30 PM,NA ,NA ,17-Jun-2025 04:00 PM,03-Jul-2025 05:30 PM,14-Aug-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2987640,ASHUTOSH CONSTRUCTION,03-Jul-2025 03:52 PM,Rejected-Technical,Disqualified,08-Aug-2025 08:48 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2978024,Bhagabati build and constructions Pvt Ltd,27-Jun-2025 01:01 PM,Rejected-AOC,L1 bidder,17-Dec-2025 07:20 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2985987,BIBHU RANJAN PARIDA,02-Jul-2025 10:57 PM,Rejected-AOC,L1 bidder,17-Dec-2025 07:20 PM,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2986167,BIJOY BUILDCONS PVT. LTD.,03-Jul-2025 03:44 PM,Rejected-AOC,L2 bidder,17-Dec-2025 07:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2987504,BINAYAK CONSTRUCTION AND ENGINEERS PVT LTD,03-Jul-2025 12:12 PM,Rejected-Technical,Disqualified,08-Aug-2025 08:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2987722,MRD INFRACON,03-Jul-2025 04:14 PM,Rejected-Technical,Disqualified,08-Aug-2025 08:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2974894,M/S GOURAV CONTRUCTION,02-Jul-2025 12:28 PM,Rejected-AOC,L1 bidder,17-Dec-2025 07:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2987959,M/S KBM CONSTRUCTION,03-Jul-2025 04:51 PM,Rejected-AOC,L1 bidder,17-Dec-2025 07:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2983512,M/s Sri Durga Condev Private Limited,03-Jul-2025 04:58 PM,Accepted-AOC,Selected as L1 bidder,17-Dec-2025 07:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
