Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
Rourkela Municipal Corporation,MC/RMC/31/2025,2025_RMC_115396_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN","14,430",Yes,fixed,,Nil,Nil,"Construction of One nos AWC buildings at Malgodam KA, Ward No. 19.",Works,Please refer Tender documents. ,NA ,"14,43,000",Civil Works - Others,NA ,Tender,90.0,120.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,10-Jul-2025 06:00 PM,22-Jul-2025 11:00 AM,10-Jul-2025 06:00 PM,21-Jul-2025 05:00 PM,NA ,NA ,10-Jul-2025 06:00 PM,21-Jul-2025 05:00 PM,"6,000",Nil,Nil,No,1.0,ICICI BANK,AOC,Finance,EMD refund,Manas Biswal,22-Sep-2025 11:08 AM,finance_545650.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,22-Sep-2025 11:34 AM,techsummary_545650.pdf (1061.40 KB),1,3000220,ARADHYA CONSTRUCTION,15-Jul-2025 06:36 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:34 AM,12-Dec-2025,"INR 1,226,872.79",120.0,Manas Biswal,12-Dec-2025 11:50 AM,BID31.pdf (1061.00 KB),Awarded to Arati Tripathy,1.0,3000150.0,ARATI TRIPATHY,INR,"1,226,872.79",Rourkela Municipal Corporation,2025_RMC_115396_5,MC/RMC/31/2025,"Construction of One nos AWC buildings at Malgodam KA, Ward No. 19.",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,22-Sep-2025 03:36 PM,finsummary_545650.pdf (1061.40 KB),AOC
,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,2,3000150,ARATI TRIPATHY,15-Jul-2025 05:33 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3006385,BIJAY KUMAR SAHOO,21-Jul-2025 11:45 AM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3001006,S B ENTERPRISES,16-Jul-2025 02:21 PM,Rejected-Technical,By The Tender Committee,22-Sep-2025 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
