Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,all documents download,Sujata Behera,07-Dec-2025 12:50 PM,finance_553115.pdf,BOQ Comparative Chart,1.0,3101029.0,HARISH CHANDRA ACHARYA,INR,"214,458",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118273_1,ETCN5-24,42/6360-S/R to F Type Qtr at Sajanpur GAD Building for 2025-26,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,19-Dec-2025 04:50 PM,finsummary_553115.pdf (195.81 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,19-Dec-2025 04:36 PM,techsummary_553115.pdf (195.81 KB),19-Dec-2025,"INR 214,458",30.0,Sujata Behera,19-Dec-2025 04:56 PM,118273AOC.pdf (410.00 KB),1,3100836,ABINASH SAHU,26-Sep-2025 05:23 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,"2,523",Yes,percentage,1.0%,Nil,Nil,42/6360-S/R to F Type Qtr at Sajanpur GAD Building for 2025-26,42/6360-S/R to F Type Qtr at Sajanpur GAD Building for 2025-26,NA ,NA ,"2,52,274",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,19-Sep-2025 06:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,19-Sep-2025 06:00 PM ,04-Oct-2025 03:00 PM ,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-24,2025_CERWI_118273_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3108326,ANANTA BEHERA,03-Oct-2025 10:02 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3100772,BANCHHANIDHI PARIDA,26-Sep-2025 06:02 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3108187,BINAYA KUMAR RANA,03-Oct-2025 08:16 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3099089,BISHNU MOHAN MALIK,25-Sep-2025 02:00 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3101029,HARISH CHANDRA ACHARYA,26-Sep-2025 03:45 PM,Accepted-AOC,Awarded through lottery winner,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3108675,JADU SINGH,04-Oct-2025 10:57 AM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3107202,JAJATIKESHARI PRADHAN,03-Oct-2025 01:59 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3100799,JAYANTA KUMAR PARIDA,26-Sep-2025 05:34 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3095885,KAILASH MANDAL,04-Oct-2025 11:48 AM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3108244,MANARANJAN PRADHAN,03-Oct-2025 09:09 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3095850,MANOJ KUMAR MANDAL,04-Oct-2025 11:29 AM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3105644,NILAMADHABA BEHERA,02-Oct-2025 03:32 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3108045,PANKAJ KUMAR PATRA,03-Oct-2025 07:49 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3108066,RABINDRA KUMAR ROUT,03-Oct-2025 07:07 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3109557,RAJESH KUMAR BEHERA,04-Oct-2025 03:34 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3099307,RAMAKANTA BEHERA,29-Sep-2025 12:04 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3104721,SANTOSH PARIDA,03-Oct-2025 04:28 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3099287,SAROJ KUMAR DAS,01-Oct-2025 02:04 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3101959,SASHIKANTA DWARY,28-Sep-2025 01:55 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3109057,SRIDHAR DHADA,04-Oct-2025 12:45 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3107478,SURYA KANTA MOHANTY,03-Oct-2025 03:20 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3104374,TRUPTIMAYEE SWAIN,01-Oct-2025 04:20 PM,Rejected-AOC,Rejected,19-Dec-2025 04:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
