Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage
Municipal Bodies||Kendrapara Municipality,2024_ORULB_105463_33,01/KM 2024-25,Construction of drain from Keshab Sahoo house to Golekha Chandra Nayak house in ward No-09,1.0,2592751.0,SMRUTI RANJAN SAHOO,INR,"733,296.41",1,2592796,M/S Sudhir Kumar Behera,24-Oct-2024 07:29 PM,Rejected-Finance,Lowest two,30-Dec-2025 09:30 PM,30-Dec-2025,"INR 733,296.41",30.0,Ajit Narayanprasad Giri,30-Dec-2025 09:34 PM,smrutiworkorder.pdf (667.00 KB),Smruti Ranjan Sahoo is the lowest bidder,Finance,ok,Suryakanta Nayak,09-Dec-2024 08:28 PM,finance_509700.pdf,BOQ Comparative Chart,Chairperson,Internal,"Je,Me,Eo,Cp",Ajit Narayanprasad Giri,30-Dec-2025 09:30 PM,finsummary_509700.pdf (532.23 KB),Chairperson,Internal,"Je,Me,Eo,Cp",Ajit Narayanprasad Giri,30-Dec-2025 09:25 PM,techsummary_509700.pdf (532.23 KB),AOC,"7,343",Yes,percentage,1.0%,Nil,Nil,15-Oct-2024 04:00 PM,28-Oct-2024 11:00 AM,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,15-Oct-2024 04:00 PM ,26-Oct-2024 05:00 PM ,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,"4,000",0.0,Nil,Nil,No,Construction of drain from Keshab Sahoo house to Golekha Chandra Nayak house in ward No-09,Construction of drain from Keshab Sahoo house to Golekha Chandra Nayak house in ward No-09,Please refer Tender documents. ,NA ,"7,34,250",Civil Works - Roads,NA ,Tender,120.0,60.0,kendrapara municipality,754211.0,NA ,NA ,NA ,kendrapara mpl,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,documents as per dtcn,Municipal Bodies||Kendrapara Municipality,01/KM 2024-25,2024_ORULB_105463_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,executive officer,kendrapara mpl,1,ICICI BANK,AOC
,,,,,,,,,2,2592751,SMRUTI RANJAN SAHOO,24-Oct-2024 04:55 PM,Accepted-AOC,Smruti ranjan Sahoo is the lowest bidder,30-Dec-2025 09:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
