Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,5 bidders have participated. Except MANOJ KUMAR MANDAL all 4 have quoted the same.,Sanjaya Kumar Sena,11-Nov-2025 03:17 PM,,BOQ Comparative Chart,Municipal Bodies||Soro Municipality,2025_ORULB_119579_11,SOROM_05_2025-26,Repair and Restoration Of Maudamani School in Ward No-18,1.0,3159335.0,NIKHAT JAHAN,INR,"158,867.94",1,3154335,Gouraranjan Das,26-Oct-2025 01:33 PM,Rejected-Finance,L1,31-Dec-2025 11:54 AM,31-Dec-2025,"INR 186,881",90.0,Biswo Ranjan Pradhan,31-Dec-2025 11:57 AM,W11.pdf (465.00 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,31-Dec-2025 11:51 AM,techsummary_556371.pdf (525.75 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,31-Dec-2025 11:54 AM,finsummary_556371.pdf (525.75 KB),AOC,"1,869",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Soro Municipality,SOROM_05_2025-26,2025_ORULB_119579_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN Card, Valid Registration Certificate, Valid Labour License, Affidavits and as per DTCN","Executive Officer, soro Municipality","Executive Officer, soro Municipality",Repair and Restoration Of Maudamani School in Ward No-18,Repair and Restoration work,Please refer to the Tender Document. ,NA ,"1,86,881",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,1.0,ICICI BANK,17-Oct-2025 10:00 AM,28-Oct-2025 10:00 AM,17-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,NA ,NA ,17-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3152362,MANOJ KUMAR MANDAL,25-Oct-2025 07:51 PM,Rejected-Finance,L1,31-Dec-2025 11:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3159335,NIKHAT JAHAN,27-Oct-2025 02:20 PM,Accepted-AOC,Work Order,31-Dec-2025 11:57 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3154612,PITAMBAR DAS,26-Oct-2025 02:18 PM,Rejected-Technical,Not qualified in Technical bid,31-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3158545,SRIDHAR GOCHHAYAT,27-Oct-2025 03:25 PM,Rejected-Technical,Not qualified in Technical bid,31-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
