S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-69/2024-25,2025_ORULB_111921_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,"4,940",Yes,percentage,1.0%,Nil,Nil,26-Mar-2025 11:00 AM,09-Apr-2025 11:00 AM,26-Mar-2025 11:00 AM,08-Apr-2025 05:00 PM,NA ,NA ,26-Mar-2025 11:00 AM,08-Apr-2025 05:00 PM,CONSTRUCTION OF ROAD AT BABULI NAGAR LANE -2 IN WARD NO.1.,CONSTRUCTION OF ROAD,Please refer Tender documents. ,NA ,"4,94,000",Civil Works - Roads,NA ,Tender,90.0,45.0,GUNUPUR MUNICIPALITY,765022.0,NA ,NA ,NA ,GUNUPUR MUNCIPALITY OFFICE,No ,No,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,AOC,Chairperson Gunupur Municipality,Internal,"Chairperson Gunupur Municipality, Executive Officer Gunupur Municipality, Municipal Engineer Gunupur Municipality and other members",Santosha Kumar Naik,08-Jun-2025 08:22 PM,finsummary_534375.pdf (3030.88 KB),Chairperson Gunupur Municipality,Internal,"Chairperson Gunupur Municipality, Executive Officer Gunupur Municipality, Municipal Engineer Gunupur Municipality and other members",Santosha Kumar Naik,08-Jun-2025 08:18 PM,techsummary_534375.pdf (3400.19 KB),08-Jun-2025,"INR 418,830.79",45.0,Santosha Kumar Naik,28-Dec-2025 06:47 PM,22.pdf (3041.00 KB),Municipal Bodies||Gunupur Municipal Council,2025_ORULB_111921_22,GUN-MUN-69/2024-25,CONSTRUCTION OF ROAD AT BABULI NAGAR LANE -2 IN WARD NO.1.,1.0,2870387.0,WAIRUMPI SABAR,INR,"420,137",1,2878339,GUNTAMUKALA GOWRI SANKAR RAO,07-Apr-2025 06:54 PM,Rejected-Finance,Disqualified in the transparent lotter process,08-Jun-2025 08:22 PM,Finance,all bids admitted,Dandapati Yudhistir,30-Apr-2025 09:32 PM,finance_534375.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANITY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2877529,RADHA KRUSHNA PRADHAN,08-Apr-2025 05:57 AM,Rejected-Finance,Disqualified in the transparent lotter process,08-Jun-2025 08:22 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2877665,VIJAYA KUMAR PATNAIK,08-Apr-2025 01:13 PM,Rejected-Finance,Disqualified in the transparent lotter process,08-Jun-2025 08:22 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2870387,WAIRUMPI SABAR,08-Apr-2025 03:44 PM,Accepted-AOC,L1 in the transparent lottery process,28-Dec-2025 06:47 PM,,,,,,,AOC
