S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3009519.0,CHINTAMANI KUNDA,INR,"9,579,658.514",Technical,Bid opening Summary,Bramheswar Das,28-Jul-2025 12:28 PM,technical_545598.pdf,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Sambalpur,2025_WTDSM_115361_2,GMWATCOSBP-05/2025-26 Dt. 03.07.2025,"Replacement of House Service Connections of Consumers at Talbhatapada under WATCO Section, Modipada","Er Bramheswar Das, General Manager , WATCO Division, Sambalpur",Internal,,Bramheswar Das,04-Dec-2025 06:12 PM,finsummary_545598.pdf (1339.59 KB),"Er Bramheswar Das, General Manager , WATCO Division, Sambalpur",Internal,"G. M WATCO, Project, Division-I, BBSR Member Convener, G. M, WATCO, Project Division II, BBSR Member, Director (Operations) WATCO, Member, Head Finance, WATCO, Member, M. D WATCO, Chairman",Bramheswar Das,19-Sep-2025 02:07 PM,19-Sep-2025 04:30 PM,techsummary_545598.pdf (1573.76 KB),Finance,Bid opening Summary,Bramheswar Das,21-Sep-2025 12:15 PM,finance_545598.pdf,BOQ Comparative Chart,04-Dec-2025,"INR 9,579,658",180.0,Bramheswar Das,04-Dec-2025 06:24 PM,AOOC.pdf (757.00 KB),AWARD OF CONTRACT,1,3011431,ASHISH MOHANTY,25-Jul-2025 09:47 AM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,10-Jul-2025 11:00 AM,28-Jul-2025 11:30 AM,10-Jul-2025 11:00 AM,25-Jul-2025 05:00 PM,10-Jul-2025 11:00 AM ,13-Jul-2025 05:00 PM ,10-Jul-2025 11:00 AM,25-Jul-2025 05:00 PM,19-Sep-2025 04:30 PM,"Replacement of House Service Connections of Consumers at Talbhatapada under WATCO Section, Modipada","Replacement of House Service Connections of Consumers at Talbhatapada under WATCO Section, Modipada",Please refer Tender documents. ,NA ,"1,12,68,860",Civil Works - Water Works,NA ,Tender,120.0,180.0,SAMBALPUR,768001.0,NA ,NA ,NA ,SAMBALPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of TP, GSTN, PAN, RC, Experience Certificate and Other Documents as per DTCN","1,12,689",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Sambalpur,GMWATCOSBP-05/2025-26 Dt. 03.07.2025,2025_WTDSM_115361_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"General Manager, WATCO Division, Sambalpur","General Manager, WATCO Division, Sambalpur, Brooks Hill, Near Stadium, At/Po- Motijharan, Dist- Sambalpur-768 001","11,800",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3011769,BALDEV PANDA,25-Jul-2025 01:56 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, Annual Turnover, Declaration Form and Other Documents as per DTCN",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3009519,CHINTAMANI KUNDA,25-Jul-2025 01:15 AM,Accepted-AOC,OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3011497,DEBAKANTA MALLICK,25-Jul-2025 11:23 AM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3010969,GTEC EIS PVT LTD,24-Jul-2025 03:38 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3010984,JRC Infra,24-Jul-2025 04:14 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3011930,MUTYADA ASHOK,25-Jul-2025 03:34 PM,Rejected-Technical,Not qualified minimum eligibility criteria,19-Sep-2025 02:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3009303,NILENDRI SAHOO,24-Jul-2025 12:53 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3010622,parthasarathi chhotaray,25-Jul-2025 02:22 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3011852,RABINARAYAN SETHI,25-Jul-2025 02:23 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3011241,Rabindra Kumar Parida,24-Jul-2025 08:17 PM,Rejected-AOC,NOT OK,04-Dec-2025 06:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
