Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,FINANCIAL BID OPENED,Hemant Naik,25-Oct-2025 06:02 PM,,BOQ Comparative Chart,CCENC,Internal,,Hemant Naik,22-Oct-2025 08:29 PM,25-Oct-2025 04:15 PM,techsummary_548835.pdf (421.96 KB),23-Dec-2025,"INR 20,865,491",120.0,Hemant Naik,23-Dec-2025 06:43 PM,AGT42DOCQR.pdf (1835.00 KB),AGT DRAWN,1,3058470,AMAN BADHAN,01-Sep-2025 10:27 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,1.0,3061229.0,Gourav Jain,INR,"20,865,491",CCE NC SBP,Internal,,Hemant Naik,23-Dec-2025 06:39 PM,finsummary_548835.pdf (3061.94 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_116653_1,CCENC (R AND B) /02/ 2025-26,Additional work for construction of 42 Nos Doctors Quarter and Cardiac Care Hospital Jharsuguda for the year 2025-26,Technical,TECHNICAL BID OPENED,Hemant Naik,11-Sep-2025 05:36 PM,,AOC,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /02/ 2025-26,2025_EICCL_116653_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,19-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,19-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,19-Aug-2025 10:00 AM ,25-Aug-2025 05:00 PM ,19-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,25-Oct-2025 04:15 PM,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",Additional work for construction of 42 Nos Doctors Quarter and Cardiac Care Hospital Jharsuguda for the year 2025-26,ROAD WORK,Please refer Tender documents. ,NA ,"2,45,44,749",Civil Works - Roads,NA ,Tender,90.0,120.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,1.0,ICICI BANK,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR","10,000",0.0,Nil,Nil,No,"2,45,500",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,2,3043948,ARUN KUMAR BHATTACHARYA,21-Aug-2025 08:28 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3061281,BISHWAJIT DASH,02-Sep-2025 03:18 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3059072,CHIRAG AGARWAL,01-Sep-2025 02:52 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3057853,dinesh kumar sinha,31-Aug-2025 08:58 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3061229,Gourav Jain,02-Sep-2025 02:45 PM,Accepted-AOC,AGT DRAWN,23-Dec-2025 06:44 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3046135,JOGENDRA SAHU,02-Sep-2025 02:40 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3058670,KRISHNA KUMAR AGRAWAL,02-Sep-2025 01:12 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3055702,LAXMIKANTA MOHAPATRA,01-Sep-2025 07:34 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,23-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3058426,Mansi Agrawal,01-Sep-2025 09:39 AM,Rejected-Technical,As per the decision of Tender Evaluation Committee,22-Oct-2025 08:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
