Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Admitted,Jajati Keshari Gadanayak,16-Dec-2025 05:46 PM,,BOQ Comparative Chart,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2025_CERWI_120310_14,ONLINE-EEBNI-02 of 2025-26,S/R to road from Chordhara to Missiontola from 3/150 Km to 10/422 Km in the district of Sundargarh for the year 2025-26,1.0,3205319.0,PRATYUSH KUMAR SWAIN,INR,"763,655",1,3214765,ABHISHEK NATH,11-Nov-2025 07:34 PM,Rejected-Technical,"No PAN, GSTIN, No Relation,Litigation document",16-Dec-2025 05:51 PM,18-Dec-2025,"INR 763,655",60.0,Jajati Keshari Gadanayak,19-Dec-2025 11:46 AM,1358.pdf (152.00 KB),Awarded,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,16-Dec-2025 05:51 PM,techsummary_559867.pdf (911.10 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,16-Dec-2025 05:54 PM,finsummary_559867.pdf (911.10 KB),AOC,Executive Engineer,"O/o the Executive Engineer,R.W. Division, Bonai",CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-02 of 2025-26,2025_CERWI_120310_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as DTCN",1.0,ICICI BANK,"8,980",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,30-Oct-2025 10:00 AM,14-Nov-2025 11:00 AM,30-Oct-2025 10:00 AM,13-Nov-2025 05:00 PM,30-Oct-2025 10:00 AM ,12-Nov-2025 05:00 PM ,30-Oct-2025 10:00 AM,13-Nov-2025 05:00 PM,S/R to road from Chordhara to Missiontola from 3/150 Km to 10/422 Km in the district of Sundargarh for the year 2025-26,S/R to road from Chordhara to Missiontola from 3/150 Km to 10/422 Km in the district of Sundargarh for the year 2025-26,Please refer Tender documents. ,NA ,"8,98,312",Civil Works - Roads,NA ,Tender,90.0,60.0,Bonai,770038.0,NA ,NA ,NA ,"O/o the Executive Engineer,R.W. Division, Bonai",No ,No,AOC
,,,,,,,,,,,,,,,2,3219326,AMIT BIKRAM KHUNTIA,12-Nov-2025 09:16 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3220332,Basanti Tarcila Lakra,13-Nov-2025 02:49 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3221964,BIBRAT KUMAR SAHOO,13-Nov-2025 04:16 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3220107,DM Constructions,13-Nov-2025 10:24 AM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3221333,KESHAB CHANDRA PATRA,13-Nov-2025 01:50 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3221788,Manoj Gadhei,13-Nov-2025 03:30 PM,Rejected-Technical,No Relation certificate,16-Dec-2025 05:51 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3205319,PRATYUSH KUMAR SWAIN,10-Nov-2025 10:40 AM,Accepted-AOC,Awarded,19-Dec-2025 11:46 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3219281,SUMAN JAISWAL,12-Nov-2025 09:01 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3221927,SUSMITA ACHARYA,13-Nov-2025 04:06 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
