Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Nabarangpur Municipality,EONM-01/2025-26,2025_ORULB_117027_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of BT Road and Drain at Panjia Sahi in Ward No 06,CIVIL WORK,Please refer the Tender Documents ,NA ,"16,10,227",Civil Works - Others,NA ,Tender,180.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,1,ICICI BANK,"16,102",Yes,fixed,,Nil,Nil,"Executive Officer, Nabarangpur Municipality","At- Nabarangpur Municipality, Nabarangpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents","6,000",0.0,Nil,Nil,No,20-Aug-2025 10:00 AM,04-Sep-2025 11:00 AM,20-Aug-2025 10:00 AM,03-Sep-2025 05:00 PM,NA ,NA ,20-Aug-2025 10:00 AM,03-Sep-2025 05:00 PM,AOC,Municipal Bodies||Nabarangpur Municipality,2025_ORULB_117027_6,EONM-01/2025-26,Construction of BT Road and Drain at Panjia Sahi in Ward No 06,Kunu Nayak,Internal,"Chiarperson,ADM,Executive Officer,Municipal Engineer,Accountant",Upendra Kumar Nayak,22-Dec-2025 10:48 PM,finsummary_549793.pdf (1188.64 KB),Finance,All bidders has submitted all the documents as per DTCN,Upendra Kumar Nayak,14-Sep-2025 09:08 AM,finance_549793.pdf,BOQ Comparative Chart,1.0,3060802.0,AMRUTA PANIGRAHI,INR,"1,610,226",1,3060802,AMRUTA PANIGRAHI,02-Sep-2025 01:24 PM,Accepted-AOC,Awarded,22-Dec-2025 10:51 PM,22-Dec-2025,"INR 1,610,226",60.0,Upendra Kumar Nayak,22-Dec-2025 10:51 PM,6.pdf (656.00 KB),Kunu Nayak,Internal,"Chiarperson,ADM,Executive Officer,Municipal Engineer,Accountant",Upendra Kumar Nayak,22-Dec-2025 10:45 PM,techsummary_549793.pdf (1188.64 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3060868,BHAIRABA PRADHANI,02-Sep-2025 05:05 PM,Rejected-AOC,Qualified,22-Dec-2025 10:51 PM,,,,,,,,,,,,,AOC
