EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"5,41,700",Yes,fixed,,Nil,Nil,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /11/ 2025-26,2025_EICCL_118163_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,18-Sep-2025 06:55 PM,04-Oct-2025 11:00 AM,18-Sep-2025 06:55 PM,03-Oct-2025 05:00 PM,18-Sep-2025 06:55 PM ,24-Sep-2025 05:00 PM ,18-Sep-2025 06:55 PM,03-Oct-2025 05:00 PM,10-Oct-2025 04:00 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of RCC Drain and laying of paver blocks on Railway Station road from 0-000 km to 1-600 km in the district of Bargarh under State Plan for the year 2025-26,ROAD WORK,Please refer Tender documents. ,NA ,"5,41,63,107",Civil Works - Others,NA ,Tender,90.0,150.0,BARGARH,768028.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,AOC,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_118163_3,CCENC (R AND B) /11/ 2025-26,Construction of RCC Drain and laying of paver blocks on Railway Station road from 0-000 km to 1-600 km in the district of Bargarh under State Plan for the year 2025-26,Technical,TECHNICAL BID OPENED,SUCHISMITA SAHU,04-Oct-2025 06:54 PM,,CCE NC SBP,Internal,,Hemant Naik,18-Dec-2025 04:36 PM,finsummary_552891.pdf (2169.35 KB),1.0,3103395.0,Laxmi Narayan Rath,INR,"51,460,368",18-Dec-2025,"INR 51,460,368",150.0,Hemant Naik,18-Dec-2025 04:39 PM,AGTRCCDRAIN.pdf (4129.00 KB),AGT DRAWN,1.0,3105212.0,Jayanta Barik,02-Oct-2025 03:11 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,18-Dec-2025 04:36 PM,CCENC,Internal,,SUCHISMITA SAHU,09-Oct-2025 06:07 PM,10-Oct-2025 04:00 PM,techsummary_552891.pdf (918.42 KB),Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,10-Oct-2025 07:34 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3103395.0,Laxmi Narayan Rath,03-Oct-2025 10:57 AM,Accepted-AOC,AGT DRAWN,18-Dec-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3106461.0,SUJAY SHRIMANTA BISHI,03-Oct-2025 03:54 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,18-Dec-2025 04:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
