Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"4,000",0.0,Nil,Nil,No,Improvement to Jodaput MIP in Borigumma Block of Koraput District under Critical Grant 2025-26.,Improvement to Jodaput MIP in Borigumma Block of Koraput District under Critical Grant 2025-26.,Please refer Tender documents. ,NA ,"8,20,573",Civil Works - Water Works,NA ,Tender,90.0,60.0,Borigumma,764056.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,16-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,16-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,NA ,NA ,16-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY04/2025-26,2025_CEMIB_116941_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, LICENSE, AFFIDAVIT and as per DTCN",Superintending Engineer,"superintending engineer, M.I. Division, Jeypore","8,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_116941_6,MIDJEY04/2025-26,Improvement to Jodaput MIP in Borigumma Block of Koraput District under Critical Grant 2025-26.,Superintending Engineer,Internal,,Nihar Ranjan Behera,04-Dec-2025 12:39 PM,finsummary_549384.pdf (147.49 KB),Finance,On opening the bids total 15 nos. of bids were found to be received online. Hence 15 nos. of bids were found to be valid.,Nihar Ranjan Behera,04-Dec-2025 12:28 PM,,BOQ Comparative Chart,1.0,3052225.0,SRIKANTA ACHARYA,INR,"697,569",04-Dec-2025,"INR 697,569",60.0,Nihar Ranjan Behera,04-Dec-2025 12:47 PM,Jodaputaoc.pdf (168.00 KB),Aoc,1,3048871,ANANDA MAHAPATRA,25-Aug-2025 07:54 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,Superintending Engineer,Internal,,Nihar Ranjan Behera,04-Dec-2025 12:32 PM,techsummary_549384.pdf (147.49 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3045478,BASANTA KUMAR TRIPATHY,23-Aug-2025 01:54 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3054093,BHUBANESWAR KHATI,29-Aug-2025 12:28 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3045418,BIJAY KUMAR PANDA,23-Aug-2025 01:01 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3051525,GHANASYAM BISOI,27-Aug-2025 06:59 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3053115,JAGANATH BISOI,28-Aug-2025 06:51 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3052599,JANHABI BISOI,28-Aug-2025 02:19 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3048808,JITENDRA KUMAR DAS,25-Aug-2025 07:22 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3050279,LACHHMAN BALAJI TRIPATHI,26-Aug-2025 04:41 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3054659,PRASANTA KUMAR MOHANTY,29-Aug-2025 02:30 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3045339,RAJ LAXMI MALLIK,23-Aug-2025 01:36 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3053357,SANTOSH KUMAR PRADHAN,28-Aug-2025 08:56 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3045961,SHASHI BHUSAN PRAHARAJ,25-Aug-2025 07:08 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3052225,SRIKANTA ACHARYA,28-Aug-2025 07:31 PM,Accepted-AOC,Accept,04-Dec-2025 12:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3043404,TILOTTAMA BEHERA,21-Aug-2025 12:40 PM,Rejected-AOC,Reject,04-Dec-2025 12:47 PM,,,,,,,AOC
