Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,Tender opened by the Technical Committee held on dtd. 11.07.2025.,Sudhakar Naik,15-Jul-2025 03:58 PM,finance_544743.pdf,BOQ Comparative Chart,1.0,2993584.0,MEERA ELECTRICALS,INR,"2,671,219",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_114995_1,RWD CTC 01 OF 2025-26,Construction of D Type Quarter of Govt. Homeopathic Dispensary at Building Champatipur under Mahanga Block in the District of Cuttack,"S.E.R.W. Division, Cuttack",Internal,"DAO-I, A.E. (Estimator), R.W. Division, Cuttack",Debipriya Mohanty,23-Dec-2025 01:19 PM,finsummary_544743.pdf (1256.87 KB),Superintending Engineer,Internal,DAO-I and A.E (Estimator),Debipriya Mohanty,28-Nov-2025 07:47 PM,techsummary_544743.pdf (1480.55 KB),1,2995360,ABUBAKAR SIDDIQU,10-Jul-2025 04:58 PM,Rejected-Technical,Not Qualified,28-Nov-2025 07:47 PM,23-Dec-2025,"INR 2,671,219",180.0,Sudhakar Naik,23-Dec-2025 01:32 PM,champatipur_wo.pdf (914.00 KB),Work awarded to M/s. Meera Electricals,AOC,1.0,ICICI BANK,Construction of D Type Quarter of Govt. Homeopathic Dispensary at Building Champatipur under Mahanga Block in the District of Cuttack,Construction of D Type Quarter of Govt. Homeopathic Dispensary at Building Champatipur under Mahanga Block in the District of Cuttack,Refer tender documents ,NA ,"31,42,241",Civil Works - Buildings,NA ,Tender,90.0,180.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, CUTTACK",No ,No,"31,422",Yes,percentage,1.0%,Nil,Nil,01-Jul-2025 05:00 PM,11-Jul-2025 11:00 AM,01-Jul-2025 05:00 PM,10-Jul-2025 05:00 PM,01-Jul-2025 05:00 PM ,09-Jul-2025 05:00 PM ,01-Jul-2025 05:00 PM,10-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD PAN Affidavit,correctness and No relation certificate",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC 01 OF 2025-26,2025_CERWI_114995_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, CUTTACK",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2994232,AMAR KUMAR MALLA,09-Jul-2025 04:24 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2994593,AURODEEP ROUT,09-Jul-2025 09:16 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2994944,CHANDAN KUMAR JENA,10-Jul-2025 12:57 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2993985,GIRIDHARI SETHY,10-Jul-2025 04:33 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2989013,KAMALAKANTA MALLICK,04-Jul-2025 02:34 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2994805,LIPU KUMAR MALL,10-Jul-2025 01:36 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2993249,MAHESWAR BEHURA,08-Jul-2025 02:03 PM,Rejected-AOC,Not Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2993584,MEERA ELECTRICALS,08-Jul-2025 06:10 PM,Accepted-AOC,Selected through lottery.,23-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2995234,PRABIR MALIK,10-Jul-2025 03:56 PM,Rejected-Finance,4th lowest and not shortlisted for lottery.,23-Dec-2025 01:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
