Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,000",0.0,Nil,Nil,No,"5,039",Yes,percentage,1.0%,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",42/6344-S/R to R.I Office Building at Tudigadia for 2025-26,42/6344-S/R to R.I Office Building at Tudigadia for 2025-26,NA ,NA ,"5,03,921",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-5,2025_CERWI_118227_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN",19-Sep-2025 05:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 05:00 PM,04-Oct-2025 05:00 PM,19-Sep-2025 05:00 PM ,04-Oct-2025 03:00 PM ,19-Sep-2025 05:00 PM,04-Oct-2025 05:00 PM,AOC,06-Dec-2025,"INR 428,383.53",30.0,Sujata Behera,06-Dec-2025 12:07 PM,RITudigadia2.pdf (419.00 KB),AWARDED THROUGH LOTTERY WINNER,1,3100813,ABINASH SAHU,26-Sep-2025 04:52 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,"Superintending Engineer,R.W.Division-II,Balasore",Internal,DAO and Estimators,Sujata Behera,06-Dec-2025 11:19 AM,techsummary_553037.pdf (416.71 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118227_1,ETCN5-5,42/6344-S/R to R.I Office Building at Tudigadia for 2025-26,"Superintending Engineer,R.W.Division-II,Balasore",Internal,DAO AND ESTIMATORS,Sujata Behera,06-Dec-2025 11:41 AM,finsummary_553037.pdf (416.71 KB),Finance,32 Nos of bidders are participated and document download,Sujata Behera,06-Dec-2025 11:01 AM,finance_553037.pdf,BOQ Comparative Chart,1.0,3107847.0,ANANTA PRASAD BARIK,INR,"428,384",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,AOC,,,,,,,,2,3104261,AJIT KUMAR SWAIN,01-Oct-2025 12:07 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3107847,ANANTA PRASAD BARIK,04-Oct-2025 04:22 PM,Accepted-AOC,Awarded through lottery winner,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3099007,BISHNU MOHAN MALIK,25-Sep-2025 01:36 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3106869,CHITTA RANJAN MOHAPATRA,03-Oct-2025 01:55 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3106712,DEEPAK KUMAR NAYAK,03-Oct-2025 12:09 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3106693,GHANASHYAM LENKA,03-Oct-2025 05:04 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3109353,GITA RANI SAHOO,04-Oct-2025 03:53 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3100879,GOURANGA CHANDRA NAYAK,26-Sep-2025 06:36 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3108686,JADU SINGH,04-Oct-2025 10:46 AM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3105579,JAYADRATH SHIAL (SC),02-Oct-2025 05:09 PM,Rejected-AOC,Rejected,06-Dec-2025 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
