S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"5,040",Yes,percentage,1.0%,Nil,Nil,S/R to NH-5 at Betnoti to Merda Road,S/R to NH-5 at Betnoti to Merda Road,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Roads,NA ,Tender,90.0,30.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,07Online)/RWD/BPD/2025-26,2025_CERWI_120269_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,30-Oct-2025 05:00 PM,06-Nov-2025 05:30 PM,30-Oct-2025 05:00 PM,06-Nov-2025 05:00 PM,30-Oct-2025 05:00 PM ,06-Nov-2025 03:00 PM ,30-Oct-2025 05:00 PM,06-Nov-2025 05:00 PM,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada","4,000",0.0,Nil,Nil,No,AOC,R.Pradhan,Internal,,Rajesh Pradhan,29-Dec-2025 06:51 PM,techsummary_559494.pdf (197.75 KB),R.Pradhan,Internal,,Rajesh Pradhan,29-Dec-2025 06:54 PM,finsummary_559494.pdf (197.75 KB),Finance,.,Rajesh Pradhan,29-Dec-2025 06:48 PM,finance_559494.pdf,BOQ Comparative Chart,29-Dec-2025,"INR 428,600",30.0,Rajesh Pradhan,29-Dec-2025 07:03 PM,133.pdf (616.00 KB),1,3185810,AJAY KUMAR GIRI,06-Nov-2025 03:21 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_120269_18,07Online)/RWD/BPD/2025-26,S/R to NH-5 at Betnoti to Merda Road,1.0,3181914.0,RAJESWAR BEHERA,INR,"428,600",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3188752,BHIKARI DALAEI,06-Nov-2025 01:27 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3178643,HARINARAYAN KABAT,05-Nov-2025 03:20 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3181796,HITESH KUMAR JENA,06-Nov-2025 11:26 AM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3187391,JAYASHREE KAR,06-Nov-2025 09:52 AM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3181747,JNANA RANJAN BEHERA,05-Nov-2025 09:27 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3184797,MANORANJAN UPADHAYAYA,06-Nov-2025 01:09 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3179897,NIHARIKA BARIK,06-Nov-2025 07:03 AM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3184398,PRADIP KUMAR SINGHA,05-Nov-2025 02:12 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3181914,RAJESWAR BEHERA,05-Nov-2025 06:19 PM,Accepted-AOC,Lottery winner.,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,3180844,RATNAKAR JENA,05-Nov-2025 09:06 AM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,12,3181616,SANTOSH KUMAR JENA,06-Nov-2025 10:28 AM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,13,3179243,SASMITA MOHANTY,05-Nov-2025 06:17 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,14,3182332,Surjyananda Pradhan,06-Nov-2025 04:10 PM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,15,3183797,TAPAN KUMAR PAUL,06-Nov-2025 11:39 AM,Rejected-AOC,unsuccessful tenderer,29-Dec-2025 07:03 PM,,,,,,,,,,AOC
