Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN",1.0,ICICI BANK,Tentualia- Bauriora road,Tentualia- Bauriora road,Please refer tender documents ,NA ,"22,42,281",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_41,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,"22,423",Yes,percentage,1.0%,Nil,Nil,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,08-Dec-2025 05:40 PM,finsummary_557522.pdf (644.48 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,08-Dec-2025 05:36 PM,techsummary_557522.pdf (644.48 KB),1.0,3167071.0,SMITA RANI JENA,INR,"1,906,163",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_41,04 SERW BLS 2025-26,Tentualia- Bauriora road,1,3173559,ANUBHAV PANIGRAHI,03-Nov-2025 03:11 AM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,08-Dec-2025,"INR 1,906,163",60.0,Soubhagya Kumar Das,08-Dec-2025 05:45 PM,41Sl.pdf (644.00 KB),Finance,Document downloaded,Soubhagya Kumar Das,07-Nov-2025 12:48 PM,finance_557522.pdf,BOQ Comparative Chart,AOC
,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3174272,ARATI TAREI,03-Nov-2025 12:07 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3165345,Bhabani Sankar Satapathy,30-Oct-2025 12:32 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3167298,DHARAMJIT NAYAK,30-Oct-2025 05:33 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3174152,Itishree Mohanty,03-Nov-2025 02:08 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3166741,KAMAL LOCHAN ROUT,30-Oct-2025 05:59 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3174483,MAA JAGADHATRI LCCS LTD,02-Nov-2025 03:54 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3171917,MANOJ KUMAR SHAW,02-Nov-2025 03:05 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3173821,NIBEDITA BARIK,02-Nov-2025 01:25 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3170463,PANKAJ KUMAR PATRA,02-Nov-2025 07:05 PM,Rejected-AOC,Not Qualified,08-Dec-2025 05:45 PM,,,,,,,,,,,,,AOC
