S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3074035.0,ARUN KUMAR MALLIK,INR,"679,514",Finance,10nos bids received,Mohammed Shahbaz,11-Sep-2025 12:34 PM,,BOQ Comparative Chart,Er. Md Shahbaz SE,Internal,Er Nirupama Sahoo AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibash Sr DAO,Mohammed Shahbaz,14-Dec-2025 01:22 PM,finsummary_551223.pdf (610.93 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_117599_3,SE CTC (RandB)-32 of 2025-26,S/R to Cuttack City Internal Road from Madhusudan Chhak to Samaj Office chhak from 0/300km to 0/700km for the year 2025-26 (such as Providing BM and SDBC),"Er Md Shahbaz, SE",Internal,Er Nirupama Sahoo AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibas Sr DAO,Mohammed Shahbaz,13-Sep-2025 09:45 PM,techsummary_551223.pdf (637.43 KB),1,3074035,ARUN KUMAR MALLIK,10-Sep-2025 02:05 PM,Accepted-AOC,Accepted,14-Dec-2025 01:25 PM,14-Dec-2025,"INR 679,514",30.0,Mohammed Shahbaz,14-Dec-2025 01:25 PM,117599_3_A.pdf (402.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 26.09.2025 to complete the work by 25.10.2025 in all respect,AOC,"8,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,S/R to Cuttack City Internal Road from Madhusudan Chhak to Samaj Office chhak from 0/300km to 0/700km for the year 2025-26 (such as Providing BM and SDBC),Road work,As per DTCN ,NA ,"7,99,334",Civil Works - Roads,NA ,Tender,90.0,30.0,Cuttack,753001.0,NA ,NA ,NA ,"O/O SE Cuttack RandB Division No_I, Cuttack",No ,No,"SE Cuttack RandB Division No_I, Cuttack","O/O SE Cuttack RandB Division No_I, Cuttack",1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-32 of 2025-26,2025_EICCL_117599_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,03-Sep-2025 04:00 PM,11-Sep-2025 11:00 AM,03-Sep-2025 04:00 PM,10-Sep-2025 05:00 PM,NA ,NA ,03-Sep-2025 04:00 PM,10-Sep-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3070176,DURGAPRASAD OJHA,08-Sep-2025 07:49 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3072110,GOURI SANKAR PARIDA,09-Sep-2025 03:23 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3072683,ITISHREE MOHANTY,10-Sep-2025 04:39 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3070426,JIBAN BIHARI DASH,08-Sep-2025 09:19 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3074477,KALPANA PARIJA,10-Sep-2025 04:17 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3074249,PRABHAT KUMAR BASTIA,10-Sep-2025 03:07 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3072958,SARADA PRASAD GIRI,09-Sep-2025 09:50 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3063826,SATYABRATA PATTANAIK,04-Sep-2025 08:32 PM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3073550,Sri Baikuntha Nath Das,10-Sep-2025 11:55 AM,Rejected-AOC,Rejected,14-Dec-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
